R_fighter,B_fighter,Winner,Excitement
Andrew Sanchez,Makhmud Muradov,Makhmud Muradov,19.417
Brad Tavares,Antonio Carlos Junior,Brad Tavares,15.205
Dan Hooker,Michael Chandler,Michael Chandler,21.708
Arman Tsarukyan,Matt Frevola,Arman Tsarukyan,18.549
Julianna Pena,Sara McMann,Julianna Pena,11.246
Jessica Eye,Joanne Wood,Joanne Wood,17.597
Dustin Poirier,Conor McGregor,Dustin Poirier,47.197
Marina Rodriguez,Amanda Ribas,Marina Rodriguez,21.106
Amir Albazi,Zhalgas Zhumagulov,Amir Albazi,23.249
Khalil Rountree Jr.,Marcin Prachnio,Marcin Prachnio,20.015
Nik Lentz,Movsar Evloev,Movsar Evloev,22.037
Warlley Alves,Mounir Lazzez,Warlley Alves,21.007
Roxanne Modafferi,Viviane Araujo,Viviane Araujo,18.192
Lerone Murphy,Douglas Silva de Andrade,Lerone Murphy,26.676
Omari Akhmedov,Tom Breese,Omari Akhmedov,14.169
Michael Chiesa,Neil Magny,Michael Chiesa,10.296
Ricky Simon,Gaetano Pirrello,Ricky Simon,13.711
Ike Villanueva,Vinicius Moreira,Ike Villanueva,22.233
Matt Schnell,Tyson Nam,Matt Schnell,19.742
Francisco Figueiredo,Jerome Rivera,Francisco Figueiredo,14.029
Victoria Leonardo,Manon Fiorot,Manon Fiorot,21.502
Mike Davis,Mason Jones,Mike Davis,30.074
 Sumudaerji,Zarrukh Adashev, Sumudaerji,19.104
Dalcha Lungiambula,Markus Perez,Dalcha Lungiambula,14.634
Umar Nurmagomedov,Sergey Morozov,Umar Nurmagomedov,25.921
Wu Yanan,Joselyne Edwards,Joselyne Edwards,18.675
Carlos Felipe,Justin Tafa,Carlos Felipe,32.11
Punahele Soriano,Dusko Todorovic,Punahele Soriano,33.507
David Zawada,Ramazan Emeev,Ramazan Emeev,15.641
Max Holloway,Calvin Kattar,Max Holloway,24.879
Joaquin Buckley,Alessio Di Chirico,Alessio Di Chirico,18.877
Santiago Ponzinibbio,Li Jingliang,Li Jingliang,27.309
Jacob Kilburn,Austin Lingo,Austin Lingo,20.84
Carlos Condit,Matt Brown,Carlos Condit,12.571
Sarah Moras,Vanessa Melo,Vanessa Melo,17.626
Marlon Moraes,Rob Font,Rob Font,15.593
Anthony Pettis,Alex Morono,Anthony Pettis,16.984
Deron Winn,Antonio Arroyo,Deron Winn,16.284
Jose Aldo,Marlon Vera,Jose Aldo,17.703
Michel Pereira,Khaos Williams,Michel Pereira,27.284
Marcin Tybura,Greg Hardy,Marcin Tybura,23.057
Sijara Eubanks,Pannie Kianzad,Pannie Kianzad,14.871
Stephen Thompson,Geoff Neal,Stephen Thompson,23.146
Tafon Nchukwi,Jamie Pickett,Tafon Nchukwi,28.677
Gillian Robertson,Taila Santos,Taila Santos,17.121
Jimmy Flick,Cody Durden,Jimmy Flick,19.402
Christos Giagos,Carlton Minus,Christos Giagos,15.639
Kevin Holland,Jacare Souza,Kevin Holland,15.978
Mackenzie Dern,Virna Jandiroba,Mackenzie Dern,26.266
Gavin Tucker,Billy Quarantillo,Gavin Tucker,29.358
Cub Swanson,Daniel Pineda,Cub Swanson,20.662
Renato Moicano,Rafael Fiziev,Rafael Fiziev,25.318
Tony Ferguson,Charles Oliveira,Charles Oliveira,13.476
Deiveson Figueiredo,Brandon Moreno,,28.296
Junior Dos Santos,Ciryl Gane,Ciryl Gane,26.702
Tecia Torres,Sam Hughes,Tecia Torres,23.572
Chase Hooper,Peter Barrett,Chase Hooper,25.626
Gabriel Benitez,Justin Jaynes,Gabriel Benitez,20.267
Jack Hermansson,Marvin Vettori,Marvin Vettori,16.975
Gian Villante,Jake Collier,Jake Collier,21.081
Ilia Topuria,Damon Jackson,Ilia Topuria,28.865
Roman Dolidze,John Allan,Roman Dolidze,21.045
Ovince Saint Preux,Jamahal Hill,Jamahal Hill,29.873
Matt Wiman,Jordan Leavitt,Jordan Leavitt,22.237
Louis Smolka,Jose Quinonez,Louis Smolka,18.949
Jonathan Pearce,Kai Kamaka,Jonathan Pearce,19.881
Josh Parisian,Parker Porter,Parker Porter,19.962
Ashlee Evans-Smith,Norma Dumont,Norma Dumont,19.835
Gina Mazany,Rachael Ostovich,Gina Mazany,14.417
Anthony Smith,Devin Clark,Anthony Smith,4.596
Miguel Baeza,Takashi Sato,Miguel Baeza,28.759
Martin Day,Anderson Dos Santos,Anderson Dos Santos,16.377
Luke Sanders,Nate Maness,Nate Maness,27.769
Spike Carlyle,Bill Algeo,Bill Algeo,17.421
 Sumudaerji,Malcolm Gordon, Sumudaerji,18.679
Valentina Shevchenko,Jennifer Maia,Valentina Shevchenko,14.739
Katlyn Chookagian,Cynthia Calvillo,Katlyn Chookagian,22.977
Joaquin Buckley,Jordan Wright,Joaquin Buckley,25.631
Antonina Shevchenko,Ariane Lipski,Antonina Shevchenko,16.114
Mauricio Rua,Paul Craig,Paul Craig,40.162
Brandon Moreno,Brandon Royval,Brandon Moreno,12.358
Daniel Rodriguez,Nicolas Dalby,Nicolas Dalby,26.648
Mike Perry,Tim Means,Tim Means,18.468
Deiveson Figueiredo,Alex Perez,Deiveson Figueiredo,25.906
Louis Cosce,Sasha Palatnikov,Sasha Palatnikov,26.117
Alan Jouban,Jared Gooden,Alan Jouban,21.653
Kyle Daukaus,Dustin Stoltzfus,Kyle Daukaus,25.016
Abdul Razak Alhassan,Khaos Williams,Khaos Williams,33.994
Brendan Allen,Sean Strickland,Sean Strickland,25.802
Geraldo de Freitas,Tony Gravely,Tony Gravely,14.654
Alex Morono,Rhys McKee,Alex Morono,21.281
Kay Hansen,Cory McKenna,Cory McKenna,20.4
Randa Markos,Kanako Murata,Kanako Murata,17.828
Paul Felder,Rafael Dos Anjos,Rafael Dos Anjos,14.514
Ashley Yoder,Miranda Granger,Ashley Yoder,19.771
Don'Tale Mayes,Roque Martinez,Don'Tale Mayes,17.031
Alexandr Romanov,Marcos Rogerio de Lima,Alexandr Romanov,23.39
Giga Chikadze,Jamey Simmons,Giga Chikadze,25.17
Andrei Arlovski,Tanner Boser,Andrei Arlovski,22.004
Trevin Giles,Bevon Lewis,Trevin Giles,23.712
Thiago Santos,Glover Teixeira,Glover Teixeira,13.24
Raoni Barcelos,Khalid Taha,Raoni Barcelos,27.184
Gustavo Lopez,Anthony Birchak,Gustavo Lopez,17.936
Claudia Gadelha,Yan Xiaonan,Yan Xiaonan,20.37
Max Griffin,Ramiz Brahimaj,Max Griffin,22.451
Darren Elkins,Eduardo Garagorri,Darren Elkins,18.971
Sean Strickland,Jack Marshman,Sean Strickland,22.696
Adrian Yanez,Victor Rodriguez,Adrian Yanez,19.5
Bryce Mitchell,Andre Fili,Bryce Mitchell,19.826
Maurice Greene,Greg Hardy,Greg Hardy,18.556
Kevin Holland,Charlie Ontiveros,Kevin Holland,16.807
Bobby Green,Thiago Moises,Thiago Moises,18.49
Chris Gruetzemacher,Alexander Hernandez,Alexander Hernandez,21.586
Uriah Hall,Anderson Silva,Uriah Hall,22.716
Cole Williams,Jason Witt,Jason Witt,9.611
Miles Johns,Kevin Natividad,Miles Johns,28.361
Dustin Jacoby,Justin Ledet,Dustin Jacoby,21.389
Jacob Malkoun,Phil Hawes,Phil Hawes,20.967
Stefan Struve,Tai Tuivasa,Tai Tuivasa,21.242
Lauren Murphy,Liliya Shakirova,Lauren Murphy,20.762
Robert Whittaker,Jared Cannonier,Robert Whittaker,20.274
Magomed Ankalaev,Ion Cutelaba,Magomed Ankalaev,55.797
Khabib Nurmagomedov,Justin Gaethje,Khabib Nurmagomedov,30.388
Alexander Volkov,Walt Harris,Alexander Volkov,22.149
Da Woon Jung,Sam Alvey,,19.804
Nathaniel Wood,Casey Kenney,Casey Kenney,23.862
Alex Oliveira,Shavkat Rakhmonov,Shavkat Rakhmonov,21.641
Liana Jojua,Miranda Maverick,Miranda Maverick,23.8
Joel Alvarez,Alexander Yakovlev,Joel Alvarez,21.563
Katlyn Chookagian,Jessica Andrade,Jessica Andrade,14.645
JunYong Park,John Phillips,JunYong Park,8.804
Claudio Silva,James Krause,James Krause,25.261
Brian Ortega,Chan Sung Jung,Brian Ortega,28.856
Jimmy Crute,Modestas Bukauskas,Jimmy Crute,28.984
Mateusz Gamrot,Guram Kutateladze,Guram Kutateladze,28.187
Jamie Mullarkey,Fares Ziam,Fares Ziam,13.545
Gillian Robertson,Poliana Botelho,Gillian Robertson,16.247
Thomas Almeida,Jonathan Martinez,Jonathan Martinez,24.132
Gadzhimurad Antigulov,Maxim Grishin,Maxim Grishin,15.661
Said Nurmagomedov,Mark Striegl,Said Nurmagomedov,32.346
Markus Perez,Dricus Du Plessis,Dricus Du Plessis,24.7
Tom Breese,KB Bhullar,Tom Breese,31.061
Ben Rothwell,Marcin Tybura,Marcin Tybura,16.928
Marlon Moraes,Cory Sandhagen,Cory Sandhagen,22.15
Youssef Zalal,Ilia Topuria,Ilia Topuria,19.235
Tom Aspinall,Alan Baudot,Tom Aspinall,26.119
Chris Daukaus,Rodrigo Nascimento,Chris Daukaus,21.642
Edson Barboza,Makwan Amirkhani,Edson Barboza,15.463
Tracy Cortez,Stephanie Egger,Tracy Cortez,19.763
Impa Kasanganay,Joaquin Buckley,Joaquin Buckley,24.941
Giga Chikadze,Omar Morales,Giga Chikadze,28.695
Ali AlQaisi,Tony Kelley,Tony Kelley,14.726
Bruno Silva,Tagir Ulanbekov,Tagir Ulanbekov,20.711
Charles Jourdain,Josh Culibao,,22.1
Kyler Phillips,Cameron Else,Kyler Phillips,19.694
Dequan Townsend,Dusko Todorovic,Dusko Todorovic,21.351
Yorgan De Castro,Carlos Felipe,Carlos Felipe,28.355
Germaine de Randamie,Julianna Pena,Germaine de Randamie,13.067
Carlos Condit,Court McGee,Carlos Condit,20.783
Jordan Williams,Nassourdine Imavov,Nassourdine Imavov,15.895
Holly Holm,Irene Aldana,Holly Holm,18.968
Luigi Vendramini,Jessin Ayari,Luigi Vendramini,26.266
Casey Kenney,Alatengheili,Casey Kenney,23.111
Loma Lookboonmee,Jinh Yu Frey,Loma Lookboonmee,19.714
Shane Young,Ludovit Klein,Ludovit Klein,28.658
Kai Kara-France,Brandon Royval,Brandon Royval,16.941
Dominick Reyes,Jan Blachowicz,Jan Blachowicz,27.234
Israel Adesanya,Paulo Costa,Israel Adesanya,37.953
Diego Sanchez,Jake Matthews,Jake Matthews,15.212
Brad Riddell,Alex Da Silva,Brad Riddell,25.339
Ketlen Vieira,Sijara Eubanks,Ketlen Vieira,23.953
Hakeem Dawodu,Zubaira Tukhugov,Hakeem Dawodu,25.368
William Knight,Aleksa Camur,William Knight,27.207
Juan Espino,Jeff Hughes,Juan Espino,16.722
Khadis Ibragimov,Danilo Marques,Danilo Marques,16.859
Johnny Walker,Ryan Spann,Johnny Walker,14.423
Donald Cerrone,Niko Price,,21.112
Colby Covington,Tyron Woodley,Colby Covington,18.741
Khamzat Chimaev,Gerald Meerschaert,Khamzat Chimaev,26.426
Mackenzie Dern,Randa Markos,Mackenzie Dern,15.658
Mirsad Bektic,Damon Jackson,Damon Jackson,14.382
Jordan Espinosa,David Dvorak,David Dvorak,22.036
Kevin Holland,Darren Stewart,Kevin Holland,16.76
Tyson Nam,Jerome Rivera,Tyson Nam,23.94
Mayra Bueno Silva,Mara Romero Borella,Mayra Bueno Silva,13.484
Darrick Minner,TJ Laramie,Darrick Minner,14.982
Journey Newson,Randy Costa,Randy Costa,25.753
Jessica-Rose Clark,Sarah Alpar,Jessica-Rose Clark,12.922
Andre Ewell,Irwin Rivera,Andre Ewell,20.208
Roxanne Modafferi,Andrea Lee,Roxanne Modafferi,14.593
Julia Avila,Sijara Eubanks,Sijara Eubanks,15.209
Michelle Waterson-Gomez,Angela Hill,Michelle Waterson-Gomez,17.735
Bobby Green,Alan Patrick,Bobby Green,17.937
Billy Quarantillo,Kyle Nelson,Billy Quarantillo,21.837
Ottman Azaitar,Khama Worthy,Ottman Azaitar,28.14
Roosevelt Roberts,Kevin Croom,,22.567
Alexandr Romanov,Roque Martinez,Alexandr Romanov,15.28
Sabina Mazo,Justine Kish,Sabina Mazo,28.839
Ed Herman,Mike Rodriguez,Ed Herman,16.294
Bryan Barberena,Anthony Ivy,Bryan Barberena,14.936
Brok Weaver,Jalin Turner,Jalin Turner,21.398
Andre Muniz,Bartosz Fabinski,Andre Muniz,12.981
Brian Kelleher,Ray Rodriguez,Brian Kelleher,13.784
Ovince Saint Preux,Alonzo Menifield,Ovince Saint Preux,26.077
Viviane Araujo,Montana De La Rosa,Viviane Araujo,25.183
Cole Smith,Hunter Azure,Hunter Azure,22.172
Alistair Overeem,Augusto Sakai,Alistair Overeem,26.981
Michel Pereira,Zelim Imadaev,Michel Pereira,23.766
Maki Pitolo,Impa Kasanganay,Impa Kasanganay,27.653
Robbie Lawler,Neil Magny,Neil Magny,15.74
Sean Brady,Christian Aguilera,Sean Brady,25.752
Anthony Smith,Aleksandar Rakic,Aleksandar Rakic,14.133
Ricardo Lamas,Bill Algeo,Ricardo Lamas,18.184
Alessio Di Chirico,Zak Cummings,Zak Cummings,19.595
Alex Caceres,Austin Springer,Alex Caceres,23.708
Ji Yeon Kim,Alexa Grasso,Alexa Grasso,19.663
Polyana Viana,Emily Whitmire,Polyana Viana,13.502
Mallory Martin,Hannah Cifers,Mallory Martin,18.161
Ike Villanueva,Jordan Wright,Jordan Wright,25.371
Mariya Agapova,Shana Dobson,Shana Dobson,16.899
Carlton Minus,Matthew Semelsberger,Matthew Semelsberger,26.404
Austin Hubbard,Joe Solecki,Joe Solecki,18.794
Timur Valiev,Trevin Jones,,26.844
Amanda Lemos,Mizuki,Amanda Lemos,20.731
Pedro Munhoz,Frankie Edgar,Frankie Edgar,21.716
Marcin Prachnio,Mike Rodriguez,Mike Rodriguez,22.475
Daniel Rodriguez,Dwight Grant,Daniel Rodriguez,25.641
Stipe Miocic,Daniel Cormier,Stipe Miocic,57.25
Junior Dos Santos,Jairzinho Rozenstruik,Jairzinho Rozenstruik,29.979
TJ Brown,Danny Chavez,Danny Chavez,16.988
Felice Herrig,Virna Jandiroba,Virna Jandiroba,22.772
Jim Miller,Vinc Pichel,Vinc Pichel,13.251
Sean O'Malley,Marlon Vera,Marlon Vera,29.729
Chris Daukaus,Parker Porter,Chris Daukaus,21.105
John Dodson,Merab Dvalishvili,Merab Dvalishvili,15.55
Herbert Burns,Daniel Pineda,Daniel Pineda,13.373
Kai Kamaka,Tony Kelley,Kai Kamaka,26.716
Ashley Yoder,Livinha Souza,Livinha Souza,17.67
Kevin Holland,Joaquin Buckley,Kevin Holland,25.386
Beneil Dariush,Scott Holtzman,Beneil Dariush,18.346
Maki Pitolo,Darren Stewart,Darren Stewart,17.613
Nasrat Haqparast,Alexander Munoz,Nasrat Haqparast,27.844
Yana Santos,Julija Stoliarenko,Yana Santos,10.112
Tim Means,Laureano Staropoli,Tim Means,20.4
Omari Akhmedov,Chris Weidman,Chris Weidman,12.066
Derrick Lewis,Aleksei Oleinik,Derrick Lewis,11.396
Youssef Zalal,Peter Barrett,Youssef Zalal,18.691
Irwin Rivera,Ali AlQaisi,Irwin Rivera,19.356
Andrew Sanchez,Wellington Turman,Andrew Sanchez,20.337
Gavin Tucker,Justin Jaynes,Gavin Tucker,24.315
Joanne Wood,Jennifer Maia,Jennifer Maia,16.71
Lando Vannata,Bobby Green,Bobby Green,47.471
Frankie Saenz,Jonathan Martinez,Jonathan Martinez,22.656
Vicente Luque,Randy Brown,Vicente Luque,21.157
Chris Gutierrez,Cody Durden,,20.176
Jamall Emmers,Vince Cachero,Jamall Emmers,19.304
Derek Brunson,Edmen Shahbazyan,Derek Brunson,27.135
Johnny Munoz,Nate Maness,Nate Maness,25.184
Khamzat Chimaev,Rhys McKee,Khamzat Chimaev,14.404
Mauricio Rua,Rogerio Nogueira,Mauricio Rua,47.448
Paul Craig,Gadzhimurad Antigulov,Paul Craig,10.712
Robert Whittaker,Darren Till,Robert Whittaker,23.607
Alex Oliveira,Peter Sobotta,Alex Oliveira,20.99
Carla Esparza,Marina Rodriguez,Carla Esparza,19.6
Francisco Trinaldo,Jai Herbert,Francisco Trinaldo,18.997
Nicolas Dalby,Jesse Ronson,,23.961
Tom Aspinall,Jake Collier,Tom Aspinall,27.462
Fabricio Werdum,Alexander Gustafsson,Fabricio Werdum,19.564
Nathaniel Wood,John Castaneda,Nathaniel Wood,22.665
Tanner Boser,Raphael Pessoa,Tanner Boser,29.547
Movsar Evloev,Mike Grundy,Movsar Evloev,31.509
Ramazan Emeev,Niklas Stolze,Ramazan Emeev,15.842
Bethe Correia,Pannie Kianzad,Pannie Kianzad,19.331
Joe Duffy,Joel Alvarez,Joel Alvarez,26.791
Alexandre Pantoja,Askar Askarov,Askar Askarov,24.043
Marc Diakiese,Rafael Fiziev,Rafael Fiziev,23.695
Grant Dawson,Nad Narimani,Grant Dawson,18.81
Jack Hermansson,Kelvin Gastelum,Jack Hermansson,13.285
Deiveson Figueiredo,Joseph Benavidez,Deiveson Figueiredo,55.824
Ariane Lipski,Luana Carolina,Ariane Lipski,20.168
Roman Dolidze,Khadis Ibragimov,Roman Dolidze,31.815
Carlos Felipe,Serghei Spivac,Serghei Spivac,23.596
Malcolm Gordon,Amir Albazi,Amir Albazi,16.696
Davi Ramos,Arman Tsarukyan,Arman Tsarukyan,20.942
Brett Johns,Montel Jackson,Brett Johns,23.815
John Phillips,Khamzat Chimaev,Khamzat Chimaev,17.572
Modestas Bukauskas,Andreas Michailidis,Modestas Bukauskas,22.447
Molly McCann,Taila Santos,Taila Santos,20.189
Abdul Razak Alhassan,Mounir Lazzez,Mounir Lazzez,26.038
Ricardo Ramos,Lerone Murphy,Lerone Murphy,20.17
Calvin Kattar,Dan Ige,Calvin Kattar,22.405
Jimmie Rivera,Cody Stamann,Jimmie Rivera,21.467
Tim Elliott,Ryan Benoit,Tim Elliott,18.032
Jared Gordon,Chris Fishgold,Jared Gordon,14.756
Diana Belbita,Liana Jojua,Liana Jojua,11.837
Jack Shore,Aaron Phillips,Jack Shore,21.587
Jessica Andrade,Rose Namajunas,Rose Namajunas,47.526
Amanda Ribas,Paige VanZant,Amanda Ribas,23.012
Makwan Amirkhani,Danny Henry,Makwan Amirkhani,17.01
Alexander Volkanovski,Max Holloway,Alexander Volkanovski,54.576
Volkan Oezdemir,Jiri Prochazka,Jiri Prochazka,22.864
Kamaru Usman,Jorge Masvidal,Kamaru Usman,19.611
Leonardo Santos,Roman Bogatov,Leonardo Santos,22.93
Elizeu Zaleski dos Santos,Muslim Salikhov,Muslim Salikhov,23.424
Petr Yan,Jose Aldo,Petr Yan,28.14
Karol Rosa,Vanessa Melo,Karol Rosa,17.197
Raulian Paiva,Zhalgas Zhumagulov,Raulian Paiva,24.872
Martin Day,Davey Grant,Davey Grant,16.492
Marcin Tybura,Maxim Grishin,Marcin Tybura,13.502
Luis Pena,Khama Worthy,Khama Worthy,19.983
Dustin Poirier,Dan Hooker,Dustin Poirier,20.77
Sean Woodson,Julian Erosa,Julian Erosa,28.368
Mike Perry,Mickey Gall,Mike Perry,19.376
Takashi Sato,Jason Witt,Takashi Sato,24.222
Gian Villante,Maurice Greene,Maurice Greene,22.235
Brendan Allen,Kyle Daukaus,Brendan Allen,21.172
Kay Hansen,Jinh Yu Frey,Kay Hansen,18.975
Philipe Lins,Tanner Boser,Tanner Boser,21.267
Jordan Griffin,Youssef Zalal,Youssef Zalal,14.52
Jim Miller,Roosevelt Roberts,Jim Miller,12.939
Belal Muhammad,Lyman Good,Belal Muhammad,22.592
Curtis Blaydes,Alexander Volkov,Curtis Blaydes,16.472
Marc-Andre Barriault,Oskar Piechota,,24.096
Tecia Torres,Brianna Fortino,Tecia Torres,18.699
Clay Guida,Bobby Green,Bobby Green,15.539
Raquel Pennington,Marion Reneau,Raquel Pennington,15.517
Josh Emmett,Shane Burgos,Josh Emmett,31.591
Cortney Casey,Gillian Robertson,Gillian Robertson,9.924
Roxanne Modafferi,Lauren Murphy,Lauren Murphy,14.091
Frank Camacho,Justin Jaynes,Justin Jaynes,18.433
Austin Hubbard,Max Rohskopf,Austin Hubbard,27.798
Mariya Agapova,Hannah Cifers,Mariya Agapova,23.128
Merab Dvalishvili,Gustavo Lopez,Merab Dvalishvili,12.708
Jordan Espinosa,Mark De La Rosa,Jordan Espinosa,17.473
Tyson Nam,Zarrukh Adashev,Tyson Nam,26.118
Jessica Eye,Cynthia Calvillo,Cynthia Calvillo,18.799
Julia Avila,Gina Mazany,Julia Avila,25.771
Andre Fili,Charles Jourdain,Andre Fili,20.319
Charles Rosa,Kevin Aguilar,Charles Rosa,22.664
Karl Roberson,Marvin Vettori,Marvin Vettori,14.484
Anthony Ivy,Christian Aguilera,Christian Aguilera,22.709
Eddie Wineland,Sean O'Malley,Sean O'Malley,31.951
Ian Heinisch,Gerald Meerschaert,Ian Heinisch,22.924
Alex Caceres,Chase Hooper,Alex Caceres,23.059
Aljamain Sterling,Cory Sandhagen,Aljamain Sterling,21.694
Cody Stamann,Brian Kelleher,Cody Stamann,22.954
Raphael Assuncao,Cody Garbrandt,Cody Garbrandt,20.472
Neil Magny,Anthony Rocco Martin,Neil Magny,16.76
Jussier Formiga,Alex Perez,Alex Perez,21.57
Charles Byrd,Maki Pitolo,Maki Pitolo,10.892
Amanda Nunes,Felicia Spencer,Amanda Nunes,23.896
Evan Dunham,Herbert Burns,Herbert Burns,18.311
Alonzo Menifield,Devin Clark,Devin Clark,19.36
Roosevelt Roberts,Brok Weaver,Roosevelt Roberts,14.461
Blagoy Ivanov,Augusto Sakai,Augusto Sakai,28.201
Jamahal Hill,Klidson Abreu,,32.638
Katlyn Chookagian,Antonina Shevchenko,Katlyn Chookagian,20.908
Tyron Woodley,Gilbert Burns,Gilbert Burns,19.155
Mackenzie Dern,Hannah Cifers,Mackenzie Dern,17.255
Daniel Rodriguez,Gabe Green,Daniel Rodriguez,30.885
Billy Quarantillo,Spike Carlyle,Billy Quarantillo,22.757
Tim Elliott,Brandon Royval,Brandon Royval,12.805
Louis Smolka,Casey Kenney,Casey Kenney,24.734
Chris Gutierrez,Vince Morales,Chris Gutierrez,22.543
Matt Brown,Miguel Baeza,Miguel Baeza,27.717
Claudia Gadelha,Angela Hill,Claudia Gadelha,18.406
Dan Ige,Edson Barboza,Dan Ige,20.481
Alistair Overeem,Walt Harris,Alistair Overeem,17.355
Anthony Hernandez,Kevin Holland,Kevin Holland,18.986
Giga Chikadze,Irwin Rivera,Giga Chikadze,23.968
Song Yadong,Marlon Vera,Song Yadong,19.317
Cortney Casey,Mara Romero Borella,Cortney Casey,12.318
Darren Elkins,Nate Landwehr,Nate Landwehr,22.13
Eryk Anders,Krzysztof Jotko,Krzysztof Jotko,16.788
Rodrigo Nascimento,Don'Tale Mayes,Rodrigo Nascimento,24.186
Sijara Eubanks,Sarah Moras,Sijara Eubanks,17.267
Alexander Hernandez,Drew Dober,Drew Dober,18.247
Anthony Smith,Glover Teixeira,Glover Teixeira,16.61
Michael Johnson,Thiago Moises,Thiago Moises,18.014
Andrei Arlovski,Philipe Lins,Andrei Arlovski,23.182
Hunter Azure,Brian Kelleher,Brian Kelleher,26.46
Ricky Simon,Ray Borg,Ricky Simon,18.688
Ben Rothwell,Ovince Saint Preux,Ben Rothwell,17.265
Chase Sherman,Ike Villanueva,Chase Sherman,22.208
Gabriel Benitez,Omar Morales,Omar Morales,25.27
Aleksei Oleinik,Fabricio Werdum,Aleksei Oleinik,16.472
Carla Esparza,Michelle Waterson-Gomez,Carla Esparza,20.836
Francis Ngannou,Jairzinho Rozenstruik,Francis Ngannou,30.688
Tony Ferguson,Justin Gaethje,Justin Gaethje,31.572
Henry Cejudo,Dominick Cruz,Henry Cejudo,32.681
Anthony Pettis,Donald Cerrone,Anthony Pettis,49.953
Greg Hardy,Yorgan De Castro,Greg Hardy,27.902
Bryce Mitchell,Charles Rosa,Bryce Mitchell,21.4
Vicente Luque,Niko Price,Vicente Luque,50.948
Jeremy Stephens,Calvin Kattar,Calvin Kattar,23.737
Ryan Spann,Sam Alvey,Ryan Spann,18.897
Amanda Ribas,Randa Markos,Amanda Ribas,20.523
Johnny Walker,Nikita Krylov,Nikita Krylov,14.256
Demian Maia,Gilbert Burns,Gilbert Burns,19.245
Francisco Trinaldo,John Makdessi,Francisco Trinaldo,22.219
Renato Moicano,Damir Hadzovic,Renato Moicano,13.143
Elizeu Zaleski dos Santos,Aleksei Kunchenko,Elizeu Zaleski dos Santos,25.071
Rani Yahya,Enrique Barzola,,13.224
Jussier Formiga,Brandon Moreno,Brandon Moreno,14.072
Kevin Lee,Charles Oliveira,Charles Oliveira,14.838
Bruno Silva,David Dvorak,David Dvorak,21.992
Mayra Bueno Silva,Maryna Moroz,Maryna Moroz,26.974
Veronica Hardy,Bea Malecki,Bea Malecki,24.596
Neil Magny,Li Jingliang,Neil Magny,12.873
Alex Oliveira,Max Griffin,Alex Oliveira,14.283
Rodolfo Vieira,Saparbeg Safarov,Rodolfo Vieira,23.669
Beneil Dariush,Drakkar Klose,Beneil Dariush,19.576
Mark Madsen,Austin Hubbard,Mark Madsen,19.054
Sean O'Malley,Jose Quinonez,Sean O'Malley,28.813
Gerald Meerschaert,Deron Winn,Gerald Meerschaert,26.622
Zhang Weili,Joanna Jedrzejczyk,Zhang Weili,28.718
Giga Chikadze,Jamall Emmers,Giga Chikadze,20.386
Batgerel Danaa,Guido Cannetti,Batgerel Danaa,25.499
Israel Adesanya,Yoel Romero,Israel Adesanya,26.826
Joseph Benavidez,Deiveson Figueiredo,Deiveson Figueiredo,28.315
Marcin Tybura,Serghei Spivac,Marcin Tybura,15.059
Felicia Spencer,Zarah Fairn,Felicia Spencer,20.408
Megan Anderson,Norma Dumont,Megan Anderson,18.064
Brendan Allen,Tom Breese,Brendan Allen,20.639
Ion Cutelaba,Magomed Ankalaev,Magomed Ankalaev,29.077
Grant Dawson,Darrick Minner,Grant Dawson,17.543
Jordan Griffin,TJ Brown,Jordan Griffin,13.37
Sean Brady,Ismail Naurdiev,Sean Brady,24.379
Gabriel Silva,Kyler Phillips,Kyler Phillips,22.962
Aalon Cruz,Spike Carlyle,Spike Carlyle,24.426
Luis Pena,Steve Garcia,Luis Pena,14.226
Paul Felder,Dan Hooker,Dan Hooker,20.216
Jalin Turner,Josh Culibao,Jalin Turner,22.846
Karolina Kowalkiewicz,Yan Xiaonan,Yan Xiaonan,21.853
Jimmy Crute,Michal Oleksiejczuk,Jimmy Crute,14.197
Kevin Aguilar,Zubaira Tukhugov,Zubaira Tukhugov,24.953
Ben Sosoli,Marcos Rogerio de Lima,Marcos Rogerio de Lima,21.628
Brad Riddell,Magomed Mustafaev,Brad Riddell,22.257
Jake Matthews,Emil Meek,Jake Matthews,13.482
Loma Lookboonmee,Angela Hill,Angela Hill,20.295
Callan Potter,Song Kenan,Song Kenan,21.29
Priscila Cachoeira,Shana Dobson,Priscila Cachoeira,21.013
Kai Kara-France,Tyson Nam,Kai Kara-France,17.557
Diego Sanchez,Michel Pereira,Diego Sanchez,20.59
John Dodson,Nathaniel Wood,John Dodson,19.385
Montana De La Rosa,Mara Romero Borella,Montana De La Rosa,11.115
Tim Means,Daniel Rodriguez,Daniel Rodriguez,26.555
Corey Anderson,Jan Blachowicz,Jan Blachowicz,49.068
Brok Weaver,Kazula Vargas,Brok Weaver,13.484
Rogerio Bontorin,Ray Borg,Ray Borg,16.98
Lando Vannata,Yancy Medeiros,Lando Vannata,21.95
Mark De La Rosa,Raulian Paiva,Raulian Paiva,20.715
Jim Miller,Scott Holtzman,Scott Holtzman,18.354
Devin Clark,Dequan Townsend,Devin Clark,12.661
Macy Chiasson,Shanna Young,Macy Chiasson,20.228
Casey Kenney,Merab Dvalishvili,Merab Dvalishvili,19.668
