R_fighter,B_fighter,Winner,Excitement
Neil Magny,Phil Rowe,Neil Magny,13.957
Brendan Allen,Bruno Silva,Brendan Allen,15.916
Mateusz Rebecki,Loik Radzhabov,Mateusz Rebecki,25.139
Josh Emmett,Ilia Topuria,Ilia Topuria,26.705
David Onama,Gabriel Santos,David Onama,25.397
Randy Brown,Wellington Turman,Randy Brown,17.161
Austen Lane,Justin Tafa,,20.389
Amanda Ribas,Maycee Barber,Maycee Barber,21.371
Tabatha Ricci,Gillian Robertson,Tabatha Ricci,20.367
Zhalgas Zhumagulov,Joshua Van,Joshua Van,25.207
Cody Brundage,Sedriques Dumas,Sedriques Dumas,13.77
Trevor Peek,Chepe Mariscal,Chepe Mariscal,22.655
Jamall Emmers,Jack Jenkins,Jack Jenkins,17.211
Manuel Torres,Nikolas Motta,Manuel Torres,29.723
Kyung Ho Kang,Cristian Quinonez,Kyung Ho Kang,22.257
Nicolas Dalby,Muslim Salikhov,Nicolas Dalby,21.694
Marvin Vettori,Jared Cannonier,Jared Cannonier,21.544
Pat Sabatini,Lucas Almeida,Pat Sabatini,18.769
Armen Petrosyan,Christian Leroy Duncan,Armen Petrosyan,29.051
Arman Tsarukyan,Joaquim Silva,Arman Tsarukyan,18.845
Jimmy Flick,Alessandro Costa,Alessandro Costa,19.329
Zac Pauga,Modestas Bukauskas,Modestas Bukauskas,25.886
Carlos Hernandez,Denys Bondar,Carlos Hernandez,22.849
Tereza Bleda,Gabriella Fernandes,Tereza Bleda,20.921
Dan Argueta,Ronnie Lawrence,,21.889
Mike Malott,Adam Fugitt,Mike Malott,21.771
Amanda Nunes,Irene Aldana,Amanda Nunes,17.363
Nassourdine Imavov,Chris Curtis,,20.358
Marc-Andre Barriault,Eryk Anders,Marc-Andre Barriault,19.006
Aiemann Zahabi,Aoriqileng,Aiemann Zahabi,27.985
Charles Oliveira,Beneil Dariush,Charles Oliveira,14.763
Dan Ige,Nate Landwehr,Dan Ige,20.746
Miranda Maverick,Jasmine Jasudavicius,Jasmine Jasudavicius,14.919
Kyle Nelson,Blake Bilder,Kyle Nelson,22.106
Diana Belbita,Maria Oliveira,Diana Belbita,16.18
David Dvorak,Steve Erceg,Steve Erceg,24.029
Alex Caceres,Daniel Pineda,Alex Caceres,16.277
Karine Silva,Ketlen Souza,Karine Silva,7.287
Andrei Arlovski,Don'Tale Mayes,Don'Tale Mayes,20.015
Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,17.985
Jim Miller,Jesse Butler,Jim Miller,21.063
Tim Elliott,Victor Altamirano,Tim Elliott,14.573
Kai Kara-France,Amir Albazi,Amir Albazi,21.284
Daniel Santos,Johnny Munoz,Daniel Santos,16.169
John Castaneda,Muin Gafurov,John Castaneda,15.438
Da'Mon Blackshear,Luan Lacerda,Da'Mon Blackshear,21.554
Jamie Mullarkey,Muhammad Naimov,Muhammad Naimov,21.079
Philipe Lins,Maxim Grishin,Philipe Lins,13.258
Elise Reed,Jinh Yu Frey,Elise Reed,15.063
Andre Fialho,Joaquin Buckley,Joaquin Buckley,19.379
Emily Ducote,Loopy Godinez,Loopy Godinez,22.153
 Maheshate,Viacheslav Borshchev,Viacheslav Borshchev,19.781
Mackenzie Dern,Angela Hill,Mackenzie Dern,13.395
Karolina Kowalkiewicz,Vanessa Demopoulos,Karolina Kowalkiewicz,20.546
Orion Cosce,Gilbert Urbina,Gilbert Urbina,23.433
Edmen Shahbazyan,Anthony Hernandez,Anthony Hernandez,19.11
