R_fighter,B_fighter,R_record,B_record,Rematch,R_SIG_STR.,B_SIG_STR.,R_CTRL,B_CTRL,win_by,last_round,last_round_time,date,Fight_type,Winner,Excitement
Kyung Ho Kang,Batgerel Danaa,17_10_0,12_3_0,False,100_155,109_284,0,3,Decision - Unanimous,3,300,11-Jun-22,Men's Bout,Kyung Ho Kang,24.735
Brendan Allen,Jacob Malkoun,18_5_0,6_2_0,False,45_74,33_55,204,429,Decision - Unanimous,3,300,11-Jun-22,Men's Bout,Brendan Allen,16.476
Liang Na,Silvana Gomez Juarez,19_6_0,10_4_0,False,4_17,8_12,9,0,KO/TKO,1,82,11-Jun-22,Women's Bout,Silvana Gomez Juarez,17.888
Andre Fialho,Jake Matthews,16_5_0,17_5_0,False,18_51,47_89,0,0,KO/TKO,2,144,11-Jun-22,Men's Bout,Jake Matthews,20.772
Alexander Volkov,Jairzinho Rozenstruik,35_10_0,12_3_0,False,21_37,6_18,0,0,KO/TKO,1,132,4-Jun-22,Men's Bout,Alexander Volkov,23.374
Michael Trizano,Lucas Almeida,10_2_0,13_1_0,False,31_62,75_152,103,133,KO/TKO,3,55,4-Jun-22,Men's Bout,Lucas Almeida,26.916
Felice Herrig,Karolina Kowalkiewicz,14_9_0,13_7_0,True,55_122,82_123,1,190,Submission,2,241,4-Jun-22,Women's Bout,Karolina Kowalkiewicz,46.498
Dan Ige,Movsar Evloev,15_6_0,15_0_0,False,42_106,68_129,10,407,Decision - Unanimous,3,300,4-Jun-22,Men's Bout,Movsar Evloev,21.986
Joe Solecki,Alex Da Silva,11_3_0,21_3_0,False,33_82,35_76,291,355,Decision - Majority,3,300,4-Jun-22,Men's Bout,Joe Solecki,14.435
Alonzo Menifield,Askar Mozharov,11_3_0,19_12_0,False,19_22,2_11,259,0,KO/TKO,1,280,4-Jun-22,Men's Bout,Alonzo Menifield,10.762
Ode Osbourne,Zarrukh Adashev,10_4_0,4_3_0,False,7_15,7_13,3,0,KO/TKO,1,61,4-Jun-22,Men's Bout,Ode Osbourne,21.965
Damon Jackson,Dan Argueta,20_4_1,8_1_0,False,32_53,27_59,625,164,Decision - Unanimous,3,300,4-Jun-22,Men's Bout,Damon Jackson,17.627
Karine Silva,Poliana Botelho,14_4_0,8_4_0,False,17_68,19_26,47,0,Submission,1,295,4-Jun-22,Women's Bout,Karine Silva,17.503
Niklas Stolze,Benoit Saint Denis,12_5_0,10_1_0,False,11_14,8_10,0,344,Submission,2,92,4-Jun-22,Men's Bout,Benoit Saint Denis,20.906
Johnny Munoz,Tony Gravely,11_2_0,22_7_0,False,2_7,5_15,0,3,KO/TKO,1,68,4-Jun-22,Men's Bout,Tony Gravely,21.189
Jeff Molina,Zhalgas Zhumagulov,10_2_0,14_6_0,False,56_148,37_112,14,332,Decision - Split,3,300,4-Jun-22,Men's Bout,Jeff Molina,17.289
Rinat Fakhretdinov,Andreas Michailidis,18_1_1,13_5_0,False,45_61,18_33,780,39,Decision - Unanimous,3,300,4-Jun-22,Men's Bout,Rinat Fakhretdinov,18.917
Erin Blanchfield,JJ Aldrich,9_1_0,13_4_0,False,48_100,32_71,56,42,Submission,2,158,4-Jun-22,Women's Bout,Erin Blanchfield,24.898
Chidi Njokuani,Dusko Todorovic,21_8_0,11_2_0,False,14_17,5_7,50,193,KO/TKO,1,288,21-May-22,Men's Bout,Chidi Njokuani,19.068
Santiago Ponzinibbio,Michel Pereira,29_5_0,28_11_0,False,105_220,110_216,18,1,Decision - Split,3,300,21-May-22,Men's Bout,Michel Pereira,22.872
Joseph Holmes,Alen Amedovski,7_2_0,8_2_0,False,16_23,1_8,21,0,Submission,1,64,21-May-22,Men's Bout,Joseph Holmes,21.424
Omar Morales,Uros Medic,11_2_0,7_1_0,False,33_85,47_86,0,2,KO/TKO,2,185,21-May-22,Men's Bout,Uros Medic,30.073
Polyana Viana,Tabatha Ricci,12_4_0,6_2_0,False,36_97,33_73,9,571,Decision - Unanimous,3,300,21-May-22,Women's Bout,Tabatha Ricci,12.791
Holly Holm,Ketlen Vieira,14_4_0,12_2_0,False,96_157,85_151,603,84,Decision - Split,5,300,21-May-22,Women's Bout,Ketlen Vieira,21.957
Jailton Almeida,Parker Porter,16_2_0,13_7_0,False,18_34,0_0,269,0,Submission,1,275,21-May-22,Men's Bout,Jailton Almeida,9.973
Jonathan Martinez,Vince Morales,16_4_0,11_5_0,False,88_154,51_153,41,14,Decision - Unanimous,3,300,21-May-22,Men's Bout,Jonathan Martinez,21.528
Eryk Anders,JunYong Park,14_6_0,13_5_0,False,65_142,105_184,285,31,Decision - Split,3,300,21-May-22,Men's Bout,JunYong Park,17.69
Chase Hooper,Felipe Colares,10_2_1,10_3_0,False,60_93,21_23,424,254,KO/TKO,3,180,21-May-22,Men's Bout,Chase Hooper,16.496
Elise Reed,Sam Hughes,5_2_0,6_4_0,False,17_41,43_65,0,719,KO/TKO,3,232,21-May-22,Women's Bout,Sam Hughes,10.796
Ryan Spann,Ion Cutelaba,19_8_0,16_6_1,False,4_11,2_9,4,71,Submission,1,142,14-May-22,Men's Bout,Ryan Spann,11.158
Michael Johnson,Alan Patrick,20_17_0,15_3_0,False,30_48,22_47,121,12,KO/TKO,2,202,14-May-22,Men's Bout,Michael Johnson,22.368
Katlyn Chookagian,Amanda Ribas,17_4_0,10_2_0,False,63_222,55_169,6,289,Decision - Split,3,300,14-May-22,Women's Bout,Katlyn Chookagian,17.001
Jake Hadley,Allan Nascimento,8_0_0,18_6_0,False,8_29,19_52,230,567,Decision - Unanimous,3,300,14-May-22,Men's Bout,Allan Nascimento,13.076
Jan Blachowicz,Aleksandar Rakic,28_9_0,14_2_0,False,31_71,27_85,1,273,KO/TKO,3,71,14-May-22,Men's Bout,Jan Blachowicz,18.578
Davey Grant,Louis Smolka,13_6_0,17_8_0,False,81_197,71_139,35,35,KO/TKO,3,49,14-May-22,Men's Bout,Davey Grant,20.062
Frank Camacho,Manuel Torres,22_9_0,12_2_0,False,16_31,34_64,14,16,KO/TKO,1,207,14-May-22,Men's Bout,Manuel Torres,24.891
Tatsuro Taira,Carlos Candelario,10_0_0,8_1_0,False,57_87,9_34,417,208,Decision - Unanimous,3,300,14-May-22,Men's Bout,Tatsuro Taira,25.393
Virna Jandiroba,Angela Hill,17_3_0,14_11_0,False,14_60,21_55,424,128,Decision - Unanimous,3,300,14-May-22,Women's Bout,Virna Jandiroba,11.598
Viviane Araujo,Andrea Lee,11_3_0,13_5_0,False,39_79,47_82,640,48,Decision - Unanimous,3,300,14-May-22,Women's Bout,Viviane Araujo,13.088
Nick Maximov,Andre Petroski,8_0_0,7_3_0,False,4_11,1_10,0,23,Submission,1,76,14-May-22,Men's Bout,Andre Petroski,20.849
Francisco Trinaldo,Danny Roberts,27_8_0,18_5_0,False,80_124,36_118,261,39,Decision - Unanimous,3,300,7-May-22,Men's Bout,Francisco Trinaldo,18.168
Rose Namajunas,Carla Esparza,12_5_0,19_6_0,True,37_136,30_133,10,22,Decision - Split,5,300,7-May-22,Women's Title Bout,Carla Esparza,45.881
Macy Chiasson,Norma Dumont,8_2_0,7_1_0,False,32_89,38_75,454,26,Decision - Split,3,300,7-May-22,Women's Bout,Macy Chiasson,20.871
Brandon Royval,Matt Schnell,13_6_0,15_5_0,False,14_39,12_33,13,54,Submission,1,134,7-May-22,Men's Bout,Brandon Royval,12.567
Charles Oliveira,Justin Gaethje,32_8_0,23_3_0,False,30_47,21_33,39,13,Submission,1,202,7-May-22,Men's Bout,Charles Oliveira,25.094
Randy Brown,Khaos Williams,14_4_0,13_2_0,False,93_177,75_224,11,249,Decision - Split,3,300,7-May-22,Men's Bout,Randy Brown,21.484
Michael Chandler,Tony Ferguson,22_7_0,26_6_0,False,27_53,20_50,149,0,KO/TKO,2,17,7-May-22,Men's Bout,Michael Chandler,15.513
Andre Fialho,Cameron VanCamp,15_5_0,15_5_1,False,17_24,19_31,2,0,KO/TKO,1,155,7-May-22,Men's Bout,Andre Fialho,26.149
Mauricio Rua,Ovince Saint Preux,27_12_1,25_16_0,True,54_99,62_112,0,15,Decision - Split,3,300,7-May-22,Men's Bout,Ovince Saint Preux,52.301
Kleidison Rodrigues,CJ Vergara,7_3_0,9_3_1,False,81_143,71_127,194,260,Decision - Split,3,300,7-May-22,Men's Bout,CJ Vergara,17.094
Blagoy Ivanov,Marcos Rogerio de Lima,18_4_0,19_8_1,False,62_128,68_133,232,124,Decision - Unanimous,3,300,7-May-22,Men's Bout,Blagoy Ivanov,17.538
Ariane Carnelossi,Loopy Godinez,14_2_0,9_2_0,False,9_20,46_61,0,806,Decision - Unanimous,3,300,7-May-22,Women's Bout,Loopy Godinez,17.05
Journey Newson,Fernie Garcia,9_3_0,10_2_0,False,57_143,37_103,42,2,Decision - Unanimous,3,300,7-May-22,Men's Bout,Journey Newson,22.612
Tracy Cortez,Melissa Gatto,10_1_0,8_0_2,False,36_66,30_73,474,197,Decision - Unanimous,3,300,7-May-22,Women's Bout,Tracy Cortez,22.307
Daniel Lacerda,Francisco Figueiredo,11_2_0,12_4_1,False,4_6,5_5,28,0,Submission,1,78,30-Apr-22,Men's Bout,Francisco Figueiredo,24.632
Krzysztof Jotko,Gerald Meerschaert,23_5_0,34_14_0,False,65_124,37_91,325,114,Decision - Unanimous,3,300,30-Apr-22,Men's Bout,Krzysztof Jotko,15.527
Darren Elkins,Tristan Connelly,27_10_0,14_7_0,False,75_151,66_117,472,58,Decision - Unanimous,3,300,30-Apr-22,Men's Bout,Darren Elkins,14.88
Rob Font,Marlon Vera,19_5_0,18_7_1,False,271_516,159_283,18,125,Decision - Unanimous,5,300,30-Apr-22,Men's Bout,Marlon Vera,22.355
Andre Fili,Joanderson Brito,21_8_0,12_3_1,False,6_15,14_20,0,7,KO/TKO,1,41,30-Apr-22,Men's Bout,Joanderson Brito,20.4
Gabe Green,Yohan Lainesse,10_3_0,8_0_0,False,48_123,41_80,41,97,KO/TKO,2,242,30-Apr-22,Men's Bout,Gabe Green,25.159
Alexandr Romanov,Chase Sherman,15_0_0,15_9_0,False,8_14,0_0,118,0,Submission,1,131,30-Apr-22,Men's Bout,Alexandr Romanov,14.383
Natan Levy,Mike Breeden,6_1_0,11_4_0,False,92_141,104_210,219,116,Decision - Unanimous,3,300,30-Apr-22,Men's Bout,Natan Levy,24.707
Andrei Arlovski,Jake Collier,33_20_0,13_7_0,False,91_164,93_188,1,218,Decision - Split,3,300,30-Apr-22,Men's Bout,Andrei Arlovski,20.211
Jared Gordon,Grant Dawson,19_4_0,17_2_1,False,77_119,54_111,72,431,Submission,3,251,30-Apr-22,Men's Bout,Grant Dawson,20.851
Gina Mazany,Shanna Young,7_5_0,8_5_0,False,48_86,49_102,82,57,KO/TKO,2,191,30-Apr-22,Women's Bout,Shanna Young,19.574
Clay Guida,Claudio Puelles,37_18_0,12_2_0,False,3_4,1_3,70,14,Submission,1,181,23-Apr-22,Men's Bout,Claudio Puelles,21.101
Jordan Wright,Marc-Andre Barriault,12_2_0,13_5_0,False,12_13,13_17,92,3,Submission,1,156,23-Apr-22,Men's Bout,Marc-Andre Barriault,23.556
Maycee Barber,Montana De La Rosa,9_2_0,12_7_1,False,50_63,14_28,420,355,Decision - Unanimous,3,300,23-Apr-22,Women's Bout,Maycee Barber,16.76
Tyson Pedro,Ike Villanueva,8_3_0,18_13_0,False,22_29,4_22,0,0,KO/TKO,1,295,23-Apr-22,Men's Bout,Tyson Pedro,22.654
Amanda Lemos,Jessica Andrade,11_1_1,23_9_0,False,7_17,3_9,0,38,Submission,1,193,23-Apr-22,Women's Bout,Jessica Andrade,22.354
 Aoriqileng,Cameron Else,7_3_0,10_5_0,False,37_64,6_12,94,13,KO/TKO,1,168,23-Apr-22,Men's Bout, Aoriqileng,14.948
Lando Vannata,Charles Jourdain,12_5_2,13_4_1,False,8_14,4_7,57,19,Submission,1,152,23-Apr-22,Men's Bout,Charles Jourdain,17.301
Dwight Grant,Sergey Khandozhko,11_4_0,27_6_1,False,42_110,49_125,20,48,KO/TKO,2,255,23-Apr-22,Men's Bout,Sergey Khandozhko,18.52
Preston Parsons,Evan Elder,9_3_0,7_0_0,False,75_112,27_60,468,107,Decision - Unanimous,3,300,23-Apr-22,Men's Bout,Preston Parsons,22.712
Dean Barry,Mike Jackson,4_1_0,0_1_0,False,36_90,18_37,15,9,DQ,1,232,23-Apr-22,Men's Bout,Mike Jackson,24.072
Marcin Prachnio,Philipe Lins,15_5_0,14_5_0,False,74_117,64_110,113,328,Decision - Unanimous,3,300,23-Apr-22,Men's Bout,Philipe Lins,18.306
Mounir Lazzez,Ange Loosa,10_2_0,9_2_0,False,141_260,88_213,62,8,Decision - Unanimous,3,300,16-Apr-22,Men's Bout,Mounir Lazzez,27.503
Miguel Baeza,Andre Fialho,10_2_0,14_5_0,False,24_58,32_56,0,3,KO/TKO,1,279,16-Apr-22,Men's Bout,Andre Fialho,24.897
Vicente Luque,Belal Muhammad,21_7_1,20_3_0,True,84_184,60_155,33,449,Decision - Unanimous,5,300,16-Apr-22,Men's Bout,Belal Muhammad,48.034
Caio Borralho,Gadzhi Omargadzhiev,11_1_0,13_0_0,False,31_49,12_38,611,22,Decision - Unanimous,3,236,16-Apr-22,Men's Bout,Caio Borralho,25.192
Pat Sabatini,TJ Laramie,16_4_0,12_4_0,False,36_63,15_31,479,247,Decision - Unanimous,3,300,16-Apr-22,Men's Bout,Pat Sabatini,12.303
Lina Lansberg,Pannie Kianzad,10_5_0,16_6_0,False,39_88,78_160,143,271,Decision - Unanimous,3,300,16-Apr-22,Women's Bout,Pannie Kianzad,15.384
Devin Clark,William Knight,12_6_0,11_3_0,False,34_47,21_41,346,129,KO/TKO,3,201,16-Apr-22,Men's Bout,Devin Clark,18.045
Mayra Bueno Silva,Wu Yanan,6_2_1,13_4_0,False,87_152,62_218,49,135,Decision - Unanimous,3,300,16-Apr-22,Women's Bout,Mayra Bueno Silva,19.661
Chris Barnett,Martin Buday,22_7_0,9_1_0,False,23_52,56_83,17,464,Decision - Unanimous,3,98,16-Apr-22,Men's Bout,Martin Buday,18.719
Rafa Garcia,Jesse Ronson,13_2_0,21_10_0,False,35_80,25_61,277,2,Submission,2,290,16-Apr-22,Men's Bout,Rafa Garcia,18.282
Drakkar Klose,Brandon Jenkins,11_2_1,15_8_0,False,76_108,18_38,115,10,KO/TKO,2,33,16-Apr-22,Men's Bout,Drakkar Klose,22.584
 Alatengheili,Kevin Croom,7_3_0,21_14_0,False,9_17,2_12,1,0,KO/TKO,1,47,16-Apr-22,Men's Bout, Alatengheili,20.145
Jordan Leavitt,Trey Ogden,9_1_0,15_4_0,False,69_105,41_90,317,122,Decision - Split,3,300,16-Apr-22,Men's Bout,Jordan Leavitt,23.362
Istela Nunes,Sam Hughes,6_2_0,5_4_0,False,89_228,76_182,0,206,Decision - Majority,3,300,16-Apr-22,Women's Bout,Sam Hughes,18.761
Alexander Volkanovski,Chan Sung Jung,23_2_0,17_7_0,False,138_213,48_125,172,0,KO/TKO,4,45,9-Apr-22,Men's Title Bout,Alexander Volkanovski,26.219
Aspen Ladd,Raquel Pennington,9_2_0,13_9_0,False,65_160,114_195,176,102,Decision - Unanimous,3,300,9-Apr-22,Women's Bout,Raquel Pennington,20.262
Aljamain Sterling,Petr Yan,20_3_0,16_2_0,True,62_110,63_103,511,352,Decision - Split,5,300,9-Apr-22,Men's Title Bout,Aljamain Sterling,51.889
Gilbert Burns,Khamzat Chimaev,20_4_0,11_0_0,False,119_200,108_223,6,143,Decision - Unanimous,3,300,9-Apr-22,Men's Bout,Khamzat Chimaev,29.711
Vinc Pichel,Mark Madsen,14_2_0,11_1_0,False,68_123,39_87,48,310,Decision - Unanimous,3,300,9-Apr-22,Men's Bout,Mark Madsen,27.508
Ian Garry,Darian Weeks,8_0_0,5_1_0,False,74_144,40_77,39,172,Decision - Unanimous,3,300,9-Apr-22,Men's Bout,Ian Garry,31.832
Mackenzie Dern,Tecia Torres,11_3_0,13_5_0,False,50_156,76_124,144,174,Decision - Split,3,300,9-Apr-22,Women's Bout,Mackenzie Dern,16.298
Aleksei Oleinik,Jared Vanderaa,59_16_1,12_7_0,False,8_22,15_40,44,54,Submission,1,219,9-Apr-22,Men's Bout,Aleksei Oleinik,13.474
Anthony Hernandez,Josh Fremd,8_2_0,9_3_0,False,48_71,31_54,645,157,Decision - Unanimous,3,300,9-Apr-22,Men's Bout,Anthony Hernandez,15.419
Julio Arce,Daniel Santos,17_5_0,10_1_0,False,127_265,49_229,18,46,Decision - Unanimous,3,300,9-Apr-22,Men's Bout,Julio Arce,24.996
Piera Rodriguez,Kay Hansen,7_0_0,7_5_0,False,50_88,31_77,313,194,Decision - Unanimous,3,300,9-Apr-22,Women's Bout,Piera Rodriguez,22.143
Mickey Gall,Mike Malott,7_4_0,7_1_1,False,13_30,28_44,17,5,KO/TKO,1,221,9-Apr-22,Men's Bout,Mike Malott,25.131
Matt Brown,Bryan Barberena,25_18_0,16_8_0,False,81_129,111_211,301,57,Decision - Split,3,300,26-Mar-22,Men's Bout,Bryan Barberena,19.199
Neil Magny,Max Griffin,25_9_0,18_8_0,False,54_144,67_123,273,39,Decision - Split,3,300,26-Mar-22,Men's Bout,Neil Magny,16.265
Joanne Wood,Alexa Grasso,15_7_0,13_3_1,False,34_49,16_28,0,135,Submission,1,237,26-Mar-22,Women's Bout,Alexa Grasso,18.739
Chris Gutierrez,Batgerel Danaa,18_4_2,12_2_0,False,41_79,30_104,13,24,KO/TKO,2,154,26-Mar-22,Men's Bout,Chris Gutierrez,23.717
Sara McMann,Karol Rosa,12_6_0,15_3_0,False,24_41,26_43,627,116,Decision - Unanimous,3,300,26-Mar-22,Women's Bout,Sara McMann,14.806
Curtis Blaydes,Chris Daukaus,15_3_0,12_4_0,False,30_63,13_38,3,0,KO/TKO,2,17,26-Mar-22,Men's Bout,Curtis Blaydes,22.873
Aliaskhab Khizriev,Denis Tiuliulin,13_0_0,9_5_0,False,42_67,31_82,166,2,Submission,2,118,26-Mar-22,Men's Bout,Aliaskhab Khizriev,24.904
Marc Diakiese,Viacheslav Borshchev,15_5_0,6_1_1,False,17_20,12_21,744,35,Decision - Unanimous,3,300,26-Mar-22,Men's Bout,Marc Diakiese,18.552
Jennifer Maia,Manon Fiorot,19_9_1,9_1_0,False,37_121,83_138,76,157,Decision - Unanimous,3,300,26-Mar-22,Women's Bout,Manon Fiorot,22.373
Askar Askarov,Kai Kara-France,14_0_1,23_9_0,False,27_60,51_130,314,0,Decision - Unanimous,3,300,26-Mar-22,Men's Bout,Kai Kara-France,22.499
Matheus Nicolau,David Dvorak,17_3_1,20_3_0,False,36_81,39_110,48,85,Decision - Unanimous,3,300,26-Mar-22,Men's Bout,Matheus Nicolau,23.329
Luis Saldana,Bruno Souza,15_7_0,10_2_0,False,84_168,66_178,96,12,Decision - Unanimous,3,300,26-Mar-22,Men's Bout,Luis Saldana,23.17
Paddy Pimblett,Kazula Vargas,17_3_0,12_4_0,False,3_6,7_9,53,163,Submission,1,229,19-Mar-22,Men's Bout,Paddy Pimblett,12.708
Jai Herbert,Ilia Topuria,11_3_0,11_0_0,False,22_63,20_41,7,161,KO/TKO,2,67,19-Mar-22,Men's Bout,Ilia Topuria,21.791
Alexander Volkov,Tom Aspinall,35_9_0,12_2_0,False,13_23,29_43,0,114,Submission,1,225,19-Mar-22,Men's Bout,Tom Aspinall,21.131
Molly McCann,Luana Carolina,11_4_0,8_2_0,False,85_159,64_132,270,27,KO/TKO,3,112,19-Mar-22,Women's Bout,Molly McCann,19.745
Mike Grundy,Makwan Amirkhani,12_3_0,16_7_0,False,0_3,0_1,31,15,Submission,1,57,19-Mar-22,Men's Bout,Makwan Amirkhani,4.586
Arnold Allen,Dan Hooker,17_1_0,21_11_0,False,49_84,14_49,2,0,KO/TKO,1,153,19-Mar-22,Men's Bout,Arnold Allen,28.234
Shamil Abdurakhimov,Sergei Pavlovich,20_6_0,14_2_0,False,17_34,21_47,0,12,KO/TKO,1,243,19-Mar-22,Men's Bout,Sergei Pavlovich,25.769
Cory McKenna,Elise Reed,6_1_0,4_2_0,False,60_160,76_140,226,22,Decision - Split,3,300,19-Mar-22,Women's Bout,Elise Reed,22.373
Gunnar Nelson,Takashi Sato,17_5_1,16_4_0,False,44_55,9_23,489,0,Decision - Unanimous,3,300,19-Mar-22,Men's Bout,Gunnar Nelson,17.447
Nikita Krylov,Paul Craig,27_8_0,15_4_1,False,19_25,2_3,229,2,Submission,1,237,19-Mar-22,Men's Bout,Paul Craig,13.153
Muhammad Mokaev,Cody Durden,7_0_0,12_3_1,False,2_5,1_5,11,0,Submission,1,58,19-Mar-22,Men's Bout,Muhammad Mokaev,24.111
Jack Shore,Timur Valiev,15_0_0,18_2_0,False,70_107,72_150,282,123,Decision - Unanimous,3,300,19-Mar-22,Men's Bout,Jack Shore,30.069
Sodiq Yusuff,Alex Caceres,11_3_0,19_13_0,False,64_123,66_138,162,21,Decision - Unanimous,3,300,12-Mar-22,Men's Bout,Sodiq Yusuff,20.874
Thiago Santos,Magomed Ankalaev,22_9_0,16_1_0,False,60_138,78_155,17,215,Decision - Unanimous,5,300,12-Mar-22,Men's Bout,Magomed Ankalaev,26.025
Drew Dober,Terrance McKinney,24_11_0,13_3_0,False,17_37,36_61,24,93,KO/TKO,1,197,12-Mar-22,Men's Bout,Drew Dober,15.645
JJ Aldrich,Gillian Robertson,12_4_0,10_6_0,False,60_118,52_139,187,24,Decision - Unanimous,3,300,12-Mar-22,Women's Bout,JJ Aldrich,18.624
Khalil Rountree Jr.,Karl Roberson,10_5_0,9_4_0,False,26_69,17_28,15,0,KO/TKO,2,25,12-Mar-22,Men's Bout,Khalil Rountree Jr.,20.873
Marlon Moraes,Song Yadong,23_9_1,18_6_1,False,9_25,14_35,0,0,KO/TKO,1,126,12-Mar-22,Men's Bout,Song Yadong,20.01
Matthew Semelsberger,AJ Fletcher,9_3_0,9_1_0,False,40_82,34_64,295,342,Decision - Unanimous,3,300,12-Mar-22,Men's Bout,Matthew Semelsberger,18.559
Alex Pereira,Bruno Silva,5_1_0,21_7_0,False,108_179,59_147,77,195,Decision - Unanimous,3,300,12-Mar-22,Men's Bout,Alex Pereira,23.916
Damon Jackson,Kamuela Kirk,19_4_1,12_4_0,False,32_78,22_54,337,0,Submission,2,282,12-Mar-22,Men's Bout,Damon Jackson,12.948
Dalcha Lungiambula,Cody Brundage,11_3_0,7_2_0,False,29_56,4_8,112,35,Submission,1,221,12-Mar-22,Men's Bout,Cody Brundage,16.356
Sabina Mazo,Miranda Maverick,9_3_0,11_4_0,False,15_48,19_50,0,242,Submission,2,135,12-Mar-22,Women's Bout,Miranda Maverick,11.231
Trevin Jones,Javid Basharat,13_7_0,11_0_0,False,62_178,89_164,3,0,Decision - Unanimous,3,300,12-Mar-22,Men's Bout,Javid Basharat,27.872
Tafon Nchukwi,Azamat Murzakanov,6_1_0,10_0_0,False,43_98,28_69,14,39,KO/TKO,3,44,12-Mar-22,Men's Bout,Azamat Murzakanov,32.31
Kris Moutinho,Guido Cannetti,9_5_0,8_7_0,False,11_30,28_44,0,1,KO/TKO,1,127,12-Mar-22,Men's Bout,Guido Cannetti,21.353
Edson Barboza,Bryce Mitchell,23_10_0,15_1_0,False,16_37,34_47,2,688,Decision - Unanimous,3,300,5-Mar-22,Men's Bout,Bryce Mitchell,18.083
Rafael Dos Anjos,Renato Moicano,30_13_0,16_4_1,False,149_286,88_172,802,30,Decision - Unanimous,5,300,5-Mar-22,Men's Bout,Rafael Dos Anjos,15.403
Jalin Turner,Jamie Mullarkey,11_5_0,15_4_0,False,52_111,35_59,2,91,KO/TKO,2,46,5-Mar-22,Men's Bout,Jalin Turner,19.152
Kevin Holland,Alex Oliveira,21_8_0,22_11_1,False,50_76,21_44,15,22,KO/TKO,2,38,5-Mar-22,Men's Bout,Kevin Holland,23.262
Nicolae Negumereanu,Kennedy Nzechukwu,11_1_0,9_2_0,False,64_160,95_190,208,0,Decision - Split,3,300,5-Mar-22,Men's Bout,Nicolae Negumereanu,26.752
Colby Covington,Jorge Masvidal,16_3_0,35_15_0,False,94_201,67_140,974,21,Decision - Unanimous,5,300,5-Mar-22,Men's Bout,Colby Covington,14.796
Brian Kelleher,Umar Nurmagomedov,24_12_0,13_0_0,False,1_19,18_26,6,87,Submission,1,195,5-Mar-22,Men's Bout,Umar Nurmagomedov,17.151
Serghei Spivac,Greg Hardy,13_4_0,7_4_0,False,14_27,7_12,81,0,KO/TKO,1,136,5-Mar-22,Men's Bout,Serghei Spivac,15.225
Maryna Moroz,Mariya Agapova,10_3_0,10_2_0,False,28_42,16_27,403,40,Submission,2,207,5-Mar-22,Women's Bout,Maryna Moroz,16.726
Marina Rodriguez,Yan Xiaonan,16_1_2,15_2_0,False,72_200,56_132,41,93,Decision - Split,3,300,5-Mar-22,Women's Bout,Marina Rodriguez,27.09
Tim Elliott,Tagir Ulanbekov,18_13_1,13_1_0,False,79_179,90_186,52,295,Decision - Unanimous,3,300,5-Mar-22,Men's Bout,Tim Elliott,22.515
Dustin Jacoby,Michal Oleksiejczuk,16_5_1,17_4_0,False,89_243,69_173,190,17,Decision - Unanimous,3,300,5-Mar-22,Men's Bout,Dustin Jacoby,17.024
Devonte Smith,Ludovit Klein,11_3_0,17_4_0,False,53_98,60_95,14,399,Decision - Split,3,300,5-Mar-22,Men's Bout,Ludovit Klein,18.666
Terrance McKinney,Fares Ziam,12_3_0,12_3_0,False,3_4,1_1,123,4,Submission,1,131,26-Feb-22,Men's Bout,Terrance McKinney,15.52
Armen Petrosyan,Gregory Rodrigues,6_1_0,11_3_0,False,127_231,61_133,0,94,Decision - Split,3,300,26-Feb-22,Men's Bout,Armen Petrosyan,27.643
Misha Cirkunov,Wellington Turman,15_7_0,17_5_0,False,30_44,15_19,184,135,Submission,2,89,26-Feb-22,Men's Bout,Wellington Turman,14.814
Islam Makhachev,Bobby Green,22_1_0,30_12_1,False,14_32,9_13,117,0,KO/TKO,1,203,26-Feb-22,Men's Bout,Islam Makhachev,21.099
Josiane Nunes,Ramona Pascual,8_1_0,6_2_0,False,98_222,52_100,43,221,Decision - Unanimous,3,300,26-Feb-22,Women's Bout,Josiane Nunes,24.943
Ji Yeon Kim,Priscila Cachoeira,9_4_2,10_4_0,False,170_375,102_218,5,27,Decision - Unanimous,3,300,26-Feb-22,Women's Bout,Priscila Cachoeira,21.461
Arman Tsarukyan,Joel Alvarez,17_2_0,19_2_0,False,36_53,7_10,368,0,KO/TKO,2,117,26-Feb-22,Men's Bout,Arman Tsarukyan,22.817
 Rongzhu,Ignacio Bahamondes,7_3_0,12_4_0,False,48_129,126_194,20,81,Submission,3,100,26-Feb-22,Men's Bout,Ignacio Bahamondes,19.534
Victor Altamirano,Carlos Hernandez,10_1_0,7_1_0,False,79_138,84_172,87,82,Decision - Split,3,300,26-Feb-22,Men's Bout,Carlos Hernandez,32.396
Alejandro Perez,Jonathan Martinez,23_8_1,15_4_0,False,52_146,74_144,2,0,Decision - Unanimous,3,300,26-Feb-22,Men's Bout,Jonathan Martinez,20.71
Ramiz Brahimaj,Micheal Gillmore,9_4_0,6_4_0,False,0_1,0_2,93,0,Submission,1,122,26-Feb-22,Men's Bout,Ramiz Brahimaj,4.204
Gabriel Benitez,David Onama,22_10_0,8_1_0,False,46_96,36_94,0,10,KO/TKO,1,264,19-Feb-22,Men's Bout,David Onama,26.653
Kyle Daukaus,Jamie Pickett,10_2_0,13_6_0,False,6_9,5_9,252,15,Submission,1,299,19-Feb-22,Men's Bout,Kyle Daukaus,15.848
Parker Porter,Alan Baudot,12_7_0,8_1_0,False,43_106,55_107,394,24,Decision - Unanimous,3,300,19-Feb-22,Men's Bout,Parker Porter,20.456
