R_fighter                 ,B_fighter                 ,R_record  ,B_record  ,Rematch ,R_KD ,B_KD ,R_SIG_STR. ,B_SIG_STR. ,R_TOTAL_STR. ,B_TOTAL_STR. ,R_TD     ,B_TD     ,R_SUB_ATT ,B_SUB_ATT ,R_CTRL ,B_CTRL ,R_HEAD  ,B_HEAD  ,win_by                  ,last_round ,last_round_time ,Format               ,date      ,Fight_type         ,Winner
Aljamain Sterling         ,Sean O'Malley             ,23_3_0    ,16_1_0    ,False   ,   0 ,   1 ,17_35      ,25_35      ,24_46        ,26_36        ,0 of 2   ,0 of 0   ,        0 ,        0 ,    34 ,    18 ,3_12    ,18_25   ,KO/TKO                  ,         2 ,             51 ,5 Rnd (5-5-5-5-5)    ,19-Aug-23 ,Men's Title Bout   ,Sean O'Malley
Chris Weidman             ,Brad Tavares              ,15_6_0    ,19_9_0    ,False   ,   0 ,   0 ,37_92      ,70_115     ,39_94        ,71_116       ,0 of 8   ,0 of 0   ,        0 ,        0 ,    81 ,     0 ,30_77   ,21_61   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Men's Bout         ,Brad Tavares
Neil Magny                ,Ian Garry                 ,28_11_0   ,12_0_0    ,False   ,   0 ,   0 ,27_66      ,91_150     ,51_93        ,111_171      ,0 of 2   ,2 of 2   ,        0 ,        0 ,    70 ,   152 ,10_41   ,32_90   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Men's Bout         ,Ian Garry
Marlon Vera               ,Pedro Munhoz              ,20_8_1    ,20_7_0    ,False   ,   0 ,   0 ,141_251    ,113_246    ,141_251      ,113_246      ,0 of 1   ,0 of 1   ,        0 ,        0 ,     0 ,     0 ,109_212 ,53_177  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Men's Bout         ,Marlon Vera
Zhang Weili               ,Amanda Lemos              ,23_3_0    ,13_2_1    ,False   ,   1 ,   0 ,163_217    ,24_63      ,296_358      ,29_68        ,6 of 7   ,0 of 0   ,        0 ,        2 ,   967 ,    34 ,106_150 ,19_57   ,Decision - Unanimous    ,         5 ,            300 ,5 Rnd (5-5-5-5-5)    ,19-Aug-23 ,Women's Title Bout ,Zhang Weili
Da'Mon Blackshear         ,Mario Bautista            ,14_5_1    ,12_2_0    ,False   ,   0 ,   0 ,90_174     ,79_137     ,108_192      ,102_161      ,4 of 7   ,2 of 10  ,        0 ,        1 ,   180 ,   244 ,48_123  ,48_103  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Men's Bout         ,Mario Bautista
Gregory Rodrigues         ,Denis Tiuliulin           ,13_5_0    ,10_7_0    ,False   ,   0 ,   0 ,5_6        ,2_7        ,6_8          ,3_8          ,1 of 2   ,0 of 0   ,        0 ,        0 ,    47 ,     0 ,4_5     ,2_7     ,KO/TKO                  ,         1 ,            103 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Men's Bout         ,Gregory Rodrigues
Kurt Holobaugh            ,Austin Hubbard            ,20_7_0    ,16_6_0    ,False   ,   0 ,   0 ,61_119     ,44_107     ,85_144       ,61_125       ,0 of 0   ,2 of 6   ,        2 ,        0 ,    68 ,   143 ,46_101  ,25_86   ,Submission              ,         2 ,            159 ,3 Rnd + OT (5-5-5-5) ,19-Aug-23 ,Men's Bout         ,Kurt Holobaugh
Andre Petroski            ,Gerald Meerschaert        ,9_3_0     ,35_16_0   ,False   ,   1 ,   0 ,57_132     ,76_149     ,67_143       ,92_166       ,2 of 5   ,1 of 3   ,        0 ,        0 ,   126 ,   114 ,39_114  ,65_135  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Men's Bout         ,Andre Petroski
Karine Silva              ,Maryna Moroz              ,16_4_0    ,11_4_0    ,False   ,   1 ,   0 ,30_53      ,16_55      ,52_76        ,25_66        ,1 of 1   ,0 of 0   ,        1 ,        0 ,    51 ,   101 ,15_31   ,8_41    ,Submission              ,         1 ,            299 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Women's Bout       ,Karine Silva
Andrea Lee                ,Natalia Silva             ,13_7_0    ,15_5_1    ,False   ,   0 ,   0 ,43_125     ,70_174     ,43_125       ,70_174       ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     0 ,12_74   ,34_111  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Women's Bout       ,Natalia Silva
Brad Katona               ,Cody Gibson               ,14_2_0    ,20_8_0    ,False   ,   0 ,   0 ,160_311    ,164_268    ,173_327      ,169_273      ,0 of 2   ,0 of 1   ,        0 ,        0 ,     0 ,     0 ,116_254 ,130_228 ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd + OT (5-5-5-5) ,19-Aug-23 ,Men's Bout         ,Brad Katona
Khalil Rountree Jr.       ,Chris Daukaus             ,12_5_0    ,12_6_0    ,False   ,   1 ,   0 ,16_24      ,8_21       ,16_24        ,14_28        ,0 of 0   ,0 of 1   ,        0 ,        0 ,    31 ,     4 ,12_19   ,6_19    ,KO/TKO                  ,         1 ,            160 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Khalil Rountree Jr.
Terrance McKinney         ,Mike Breeden              ,14_6_0    ,11_5_0    ,False   ,   0 ,   0 ,30_47      ,1_5        ,30_47        ,1_5          ,0 of 2   ,0 of 1   ,        0 ,        0 ,     3 ,     0 ,23_36   ,0_4     ,KO/TKO                  ,         1 ,             85 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Terrance McKinney
AJ Dobson                 ,Tafon Nchukwi             ,6_2_0     ,6_3_0     ,False   ,   0 ,   0 ,67_134     ,53_99      ,98_176       ,59_106       ,2 of 3   ,0 of 0   ,        0 ,        0 ,   273 ,     0 ,19_75   ,11_47   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,AJ Dobson
Cub Swanson               ,Hakeem Dawodu             ,28_13_0   ,13_3_1    ,False   ,   0 ,   0 ,77_156     ,95_176     ,107_195      ,129_224      ,1 of 2   ,0 of 0   ,        0 ,        0 ,    85 ,   190 ,41_112  ,41_104  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Cub Swanson
JP Buys                   ,Marcus McGhee             ,9_5_0     ,7_1_0     ,False   ,   0 ,   1 ,4_30       ,7_13       ,4_30         ,7_13         ,0 of 1   ,0 of 0   ,        0 ,        0 ,     0 ,     5 ,2_22    ,6_11    ,KO/TKO                  ,         1 ,            139 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Marcus McGhee
Vicente Luque             ,Rafael Dos Anjos          ,21_9_1    ,32_14_0   ,False   ,   0 ,   0 ,72_141     ,66_136     ,138_221      ,94_170       ,8 of 11  ,2 of 7   ,        0 ,        1 ,   721 ,   234 ,48_115  ,42_108  ,Decision - Unanimous    ,         5 ,            300 ,5 Rnd (5-5-5-5-5)    ,12-Aug-23 ,Men's Bout         ,Vicente Luque
Josh Fremd                ,Jamie Pickett             ,10_5_0    ,13_9_0    ,False   ,   0 ,   0 ,31_80      ,14_52      ,59_109       ,26_67        ,0 of 3   ,2 of 3   ,        2 ,        0 ,   435 ,   181 ,11_49   ,4_31    ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Josh Fremd
Da'Mon Blackshear         ,Jose Johnson              ,13_5_1    ,15_7_0    ,False   ,   0 ,   0 ,18_30      ,8_12       ,30_46        ,16_21        ,2 of 4   ,0 of 0   ,        1 ,        0 ,   177 ,     0 ,7_16    ,4_7     ,Submission              ,         1 ,            227 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Da'Mon Blackshear
Polyana Viana             ,Iasmin Lucindo            ,13_5_0    ,14_5_0    ,False   ,   0 ,   0 ,10_25      ,10_24      ,41_68        ,31_48        ,1 of 3   ,2 of 2   ,        0 ,        1 ,   118 ,   193 ,2_15    ,5_18    ,Submission              ,         2 ,            222 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Women's Bout       ,Iasmin Lucindo
Jaqueline Amorim          ,Montserrat Conejo Ruiz    ,6_1_0     ,10_3_0    ,False   ,   0 ,   0 ,86_136     ,6_36       ,141_208      ,20_57        ,1 of 3   ,1 of 1   ,        4 ,        0 ,   485 ,   219 ,76_120  ,2_29    ,KO/TKO                  ,         3 ,            221 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Women's Bout       ,Jaqueline Amorim
Josh Parisian             ,Martin Buday              ,15_6_0    ,12_1_0    ,False   ,   0 ,   0 ,26_61      ,42_67      ,27_63        ,62_91        ,0 of 0   ,1 of 1   ,        0 ,        1 ,    13 ,   116 ,15_49   ,35_60   ,Submission              ,         1 ,            251 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Martin Buday
Francis Marshall          ,Isaac Dulgarian           ,7_1_0     ,5_0_0     ,False   ,   0 ,   0 ,2_7        ,35_53      ,11_16        ,61_83        ,0 of 0   ,1 of 1   ,        0 ,        0 ,     0 ,   258 ,0_5     ,32_50   ,KO/TKO                  ,         1 ,            288 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Isaac Dulgarian
Juliana Miller            ,Luana Santos              ,4_2_0     ,5_1_0     ,False   ,   0 ,   0 ,24_75      ,63_105     ,25_77        ,64_106       ,0 of 2   ,0 of 0   ,        0 ,        0 ,    29 ,    26 ,15_61   ,44_82   ,KO/TKO                  ,         1 ,            221 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Women's Bout       ,Luana Santos
Dustin Jacoby             ,Kennedy Nzechukwu         ,18_7_1    ,12_3_0    ,False   ,   1 ,   0 ,10_33      ,4_18       ,10_33        ,4_18         ,0 of 0   ,0 of 0   ,        0 ,        0 ,     4 ,     0 ,5_28    ,3_14    ,KO/TKO                  ,         1 ,             82 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Men's Bout         ,Dustin Jacoby
Jessica Andrade           ,Tatiana Suarez            ,25_11_0   ,10_0_0    ,False   ,   0 ,   0 ,11_29      ,23_49      ,13_31        ,25_51        ,0 of 0   ,3 of 3   ,        0 ,        1 ,    17 ,   142 ,2_14    ,3_20    ,Submission              ,         2 ,             91 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Women's Bout       ,Tatiana Suarez
Diego Lopes               ,Gavin Tucker              ,22_6_0    ,13_2_0    ,False   ,   0 ,   0 ,0_4        ,0_6        ,0_4          ,0_6          ,0 of 0   ,1 of 1   ,        3 ,        0 ,     0 ,    39 ,0_3     ,0_6     ,Submission              ,         1 ,             98 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Men's Bout         ,Diego Lopes
Kyler Phillips            ,Raoni Barcelos            ,10_2_0    ,17_4_0    ,False   ,   1 ,   0 ,72_187     ,46_116     ,80_196       ,52_124       ,1 of 4   ,3 of 11  ,        0 ,        0 ,    47 ,   102 ,40_146  ,20_87   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Men's Bout         ,Kyler Phillips
Tanner Boser              ,Aleksa Camur              ,20_10_1   ,6_2_0     ,False   ,   0 ,   0 ,120_215    ,68_136     ,145_253      ,105_175      ,0 of 0   ,0 of 1   ,        0 ,        0 ,   327 ,    61 ,78_163  ,34_97   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Men's Bout         ,Tanner Boser
Jeremiah Wells            ,Carlston Harris           ,12_2_1    ,18_5_0    ,False   ,   0 ,   0 ,18_48      ,5_19       ,41_78        ,19_36        ,3 of 5   ,0 of 1   ,        2 ,        1 ,   566 ,    13 ,16_46   ,1_14    ,Submission              ,         3 ,            110 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Men's Bout         ,Carlston Harris
Billy Quarantillo         ,Damon Jackson             ,17_5_0    ,22_5_1    ,False   ,   0 ,   0 ,100_188    ,67_173     ,169_270      ,75_184       ,0 of 0   ,3 of 13  ,        1 ,        0 ,   111 ,   370 ,45_124  ,45_139  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Men's Bout         ,Billy Quarantillo
Cory Sandhagen            ,Rob Font                  ,16_4_0    ,20_6_0    ,False   ,   0 ,   0 ,34_84      ,9_49       ,132_211      ,25_69        ,7 of 7   ,1 of 2   ,        1 ,        0 ,  1178 ,    68 ,30_79   ,5_43    ,Decision - Unanimous    ,         5 ,            300 ,5 Rnd (5-5-5-5-5)    ,5-Aug-23  ,Men's Bout         ,Cory Sandhagen
Ignacio Bahamondes        ,Ludovit Klein             ,14_4_0    ,19_4_1    ,False   ,   0 ,   0 ,43_139     ,56_108     ,62_166       ,94_151       ,0 of 1   ,3 of 5   ,        0 ,        0 ,     7 ,   365 ,29_114  ,36_82   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Men's Bout         ,Ludovit Klein
Ode Osbourne              ,Assu Almabayev            ,12_5_0    ,17_2_0    ,False   ,   0 ,   0 ,4_18       ,26_40      ,8_22         ,52_78        ,0 of 0   ,2 of 5   ,        0 ,        2 ,    21 ,   324 ,4_16    ,17_31   ,Submission              ,         2 ,            191 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Men's Bout         ,Assu Almabayev
Sean Woodson              ,Dennis Buzukja            ,9_1_1     ,8_3_0     ,False   ,   0 ,   0 ,71_126     ,42_116     ,163_229      ,46_121       ,4 of 5   ,0 of 1   ,        0 ,        0 ,   352 ,   150 ,36_77   ,24_85   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Men's Bout         ,Sean Woodson
Cody Durden               ,Jake Hadley               ,15_4_1    ,10_1_0    ,False   ,   0 ,   0 ,38_85      ,26_83      ,63_122       ,45_106       ,4 of 6   ,0 of 3   ,        1 ,        3 ,   445 ,   124 ,23_66   ,12_61   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Men's Bout         ,Cody Durden
Dustin Poirier            ,Justin Gaethje            ,29_7_0    ,24_4_0    ,True    ,   0 ,   1 ,27_52      ,41_66      ,27_52        ,41_66        ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     0 ,21_46   ,23_48   ,KO/TKO                  ,         2 ,             60 ,5 Rnd (5-5-5-5-5)    ,29-Jul-23 ,Men's Bout         ,Justin Gaethje
Gabriel Bonfim            ,Trevin Giles              ,14_1_0    ,16_4_0    ,False   ,   0 ,   0 ,3_11       ,1_5        ,3_11         ,1_5          ,1 of 1   ,0 of 0   ,        1 ,        0 ,    26 ,    14 ,2_10    ,1_5     ,Submission              ,         1 ,             73 ,3 Rnd (5-5-5)        ,29-Jul-23 ,Men's Bout         ,Gabriel Bonfim
Derrick Lewis             ,Marcos Rogerio de Lima    ,26_12_0   ,21_9_1    ,False   ,   1 ,   0 ,17_33      ,1_1        ,20_36        ,2_2          ,0 of 0   ,0 of 0   ,        0 ,        0 ,    29 ,     0 ,16_32   ,1_1     ,KO/TKO                  ,         1 ,             33 ,3 Rnd (5-5-5)        ,29-Jul-23 ,Men's Bout         ,Derrick Lewis
CJ Vergara                ,Vinicius Salvador         ,11_4_1    ,14_5_0    ,False   ,   0 ,   0 ,109_181    ,88_195     ,109_181      ,89_196       ,0 of 0   ,0 of 2   ,        0 ,        0 ,     0 ,     1 ,43_102  ,54_154  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,29-Jul-23 ,Men's Bout         ,CJ Vergara
Jan Blachowicz            ,Alex Pereira              ,29_9_1    ,8_2_0     ,False   ,   0 ,   0 ,52_81      ,70_92      ,82_117       ,112_138      ,3 of 8   ,0 of 0   ,        2 ,        1 ,   452 ,     6 ,41_66   ,26_46   ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,29-Jul-23 ,Men's Bout         ,Alex Pereira
Roman Kopylov             ,Claudio Ribeiro           ,11_2_0    ,11_3_0    ,False   ,   1 ,   0 ,32_42      ,32_59      ,32_42        ,33_60        ,0 of 0   ,0 of 1   ,        0 ,        0 ,     3 ,    16 ,20_29   ,18_45   ,KO/TKO                  ,         2 ,             33 ,3 Rnd (5-5-5)        ,29-Jul-23 ,Men's Bout         ,Roman Kopylov
Michael Chiesa            ,Kevin Holland             ,18_6_0    ,24_10_0   ,False   ,   0 ,   0 ,4_11       ,9_16       ,6_13         ,12_19        ,0 of 5   ,0 of 0   ,        0 ,        1 ,    15 ,    40 ,4_11    ,7_14    ,Submission              ,         1 ,            159 ,3 Rnd (5-5-5)        ,29-Jul-23 ,Men's Bout         ,Kevin Holland
Tony Ferguson             ,Bobby Green               ,26_8_0    ,30_14_1   ,False   ,   0 ,   0 ,54_123     ,137_217    ,62_138       ,145_227      ,0 of 3   ,0 of 0   ,        0 ,        1 ,    13 ,   205 ,38_98   ,95_166  ,Submission              ,         3 ,            294 ,3 Rnd (5-5-5)        ,29-Jul-23 ,Men's Bout         ,Bobby Green
Jake Matthews             ,Darrius Flowers           ,18_6_0    ,12_5_1    ,False   ,   0 ,   0 ,60_101     ,36_64      ,71_113       ,41_69        ,0 of 1   ,1 of 3   ,        1 ,        0 ,    75 ,    63 ,40_78   ,21_48   ,Submission              ,         2 ,            157 ,3 Rnd (5-5-5)        ,29-Jul-23 ,Men's Bout         ,Jake Matthews
Miranda Maverick          ,Priscila Cachoeira        ,13_5_0    ,12_4_0    ,False   ,   0 ,   0 ,36_51      ,11_23      ,105_132      ,13_26        ,3 of 9   ,0 of 0   ,        1 ,        0 ,   534 ,     0 ,23_37   ,7_18    ,Submission              ,         3 ,            131 ,3 Rnd (5-5-5)        ,29-Jul-23 ,Women's Bout       ,Miranda Maverick
Matthew Semelsberger      ,Uros Medic                ,11_5_0    ,8_1_0     ,False   ,   1 ,   1 ,52_120     ,69_128     ,53_121       ,76_135       ,0 of 2   ,1 of 1   ,        0 ,        0 ,    73 ,    22 ,31_91   ,49_98   ,KO/TKO                  ,         3 ,            156 ,3 Rnd (5-5-5)        ,29-Jul-23 ,Men's Bout         ,Uros Medic
Danny Roberts             ,Jonny Parsons             ,18_7_0    ,8_3_0     ,False   ,   0 ,   2 ,44_133     ,63_124     ,44_134       ,69_133       ,0 of 2   ,0 of 0   ,        0 ,        0 ,     5 ,    86 ,27_111  ,42_95   ,KO/TKO                  ,         2 ,            297 ,3 Rnd (5-5-5)        ,22-Jul-23 ,Men's Bout         ,Jonny Parsons
Jai Herbert               ,Fares Ziam                ,12_4_1    ,13_4_0    ,False   ,   0 ,   0 ,49_134     ,61_113     ,58_150       ,96_153       ,0 of 6   ,1 of 5   ,        0 ,        0 ,   252 ,    90 ,7_79    ,29_74   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,22-Jul-23 ,Men's Bout         ,Fares Ziam
Davey Grant               ,Daniel Marcos             ,15_6_0    ,14_0_0    ,False   ,   0 ,   0 ,70_215     ,48_140     ,70_215       ,49_141       ,0 of 1   ,1 of 1   ,        0 ,        0 ,     6 ,    13 ,17_127  ,21_90   ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,22-Jul-23 ,Men's Bout         ,Daniel Marcos
Molly McCann              ,Julija Stoliarenko        ,13_5_0    ,10_8_2    ,False   ,   0 ,   0 ,6_16       ,9_29       ,6_16         ,9_29         ,0 of 0   ,1 of 1   ,        0 ,        1 ,     7 ,    19 ,1_11    ,4_20    ,Submission              ,         1 ,            115 ,3 Rnd (5-5-5)        ,22-Jul-23 ,Women's Bout       ,Julija Stoliarenko
Lerone Murphy             ,Josh Culibao              ,12_0_1    ,11_1_1    ,False   ,   1 ,   0 ,59_109     ,23_59      ,87_144       ,40_77        ,3 of 5   ,0 of 2   ,        2 ,        0 ,   458 ,    90 ,37_81   ,16_48   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,22-Jul-23 ,Men's Bout         ,Lerone Murphy
Nathaniel Wood            ,Andre Fili                ,19_6_0    ,22_9_0    ,False   ,   1 ,   1 ,84_148     ,58_151     ,108_174      ,76_179       ,1 of 2   ,0 of 2   ,        0 ,        0 ,   107 ,   175 ,38_90   ,45_134  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,22-Jul-23 ,Men's Bout         ,Nathaniel Wood
Tom Aspinall              ,Marcin Tybura             ,13_3_0    ,24_7_0    ,False   ,   1 ,   0 ,13_18      ,4_15       ,13_18        ,4_15         ,0 of 0   ,0 of 0   ,        0 ,        0 ,     5 ,     0 ,12_17   ,2_13    ,KO/TKO                  ,         1 ,             73 ,5 Rnd (5-5-5-5-5)    ,22-Jul-23 ,Men's Bout         ,Tom Aspinall
Paul Craig                ,Andre Muniz               ,16_6_1    ,23_5_0    ,False   ,   0 ,   0 ,40_82      ,24_40      ,54_101       ,31_47        ,2 of 2   ,2 of 2   ,        1 ,        0 ,   176 ,   107 ,31_66   ,15_30   ,KO/TKO                  ,         2 ,            280 ,3 Rnd (5-5-5)        ,22-Jul-23 ,Men's Bout         ,Paul Craig
Marc Diakiese             ,Joel Alvarez              ,17_6_0    ,19_3_0    ,False   ,   0 ,   0 ,20_46      ,42_75      ,29_60        ,64_98        ,2 of 3   ,0 of 1   ,        0 ,        1 ,   189 ,    86 ,8_25    ,20_49   ,Submission              ,         2 ,            266 ,3 Rnd (5-5-5)        ,22-Jul-23 ,Men's Bout         ,Joel Alvarez
Shauna Bannon             ,Bruna Brasil              ,5_0_0     ,8_3_1     ,False   ,   0 ,   0 ,54_144     ,56_90      ,124_223      ,73_111       ,0 of 2   ,2 of 3   ,        0 ,        0 ,    65 ,   201 ,22_84   ,30_58   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,22-Jul-23 ,Women's Bout       ,Bruna Brasil
Mick Parkin               ,Jamal Pogues              ,6_0_0     ,10_3_0    ,False   ,   0 ,   0 ,95_156     ,36_135     ,98_159       ,37_136       ,0 of 0   ,0 of 1   ,        0 ,        0 ,     0 ,    77 ,37_94   ,22_119  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,22-Jul-23 ,Men's Bout         ,Mick Parkin
Ketlen Vieira             ,Pannie Kianzad            ,13_3_0    ,17_6_0    ,False   ,   0 ,   0 ,15_33      ,22_51      ,65_103       ,92_144       ,3 of 3   ,0 of 0   ,        3 ,        0 ,   649 ,   131 ,13_31   ,17_45   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,22-Jul-23 ,Women's Bout       ,Ketlen Vieira
Chris Duncan              ,Yanal Ashmouz             ,10_1_0    ,7_0_0     ,False   ,   0 ,   0 ,85_206     ,35_98      ,87_209       ,36_100       ,2 of 4   ,0 of 1   ,        0 ,        0 ,    48 ,     0 ,54_161  ,15_68   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,22-Jul-23 ,Men's Bout         ,Chris Duncan
Jafel Filho               ,Daniel Barez              ,14_3_0    ,16_5_0    ,False   ,   0 ,   1 ,21_54      ,18_30      ,23_62        ,18_30        ,1 of 4   ,0 of 0   ,        1 ,        0 ,    55 ,    12 ,11_40   ,8_17    ,Submission              ,         1 ,            206 ,3 Rnd (5-5-5)        ,22-Jul-23 ,Men's Bout         ,Jafel Filho
Makhmud Muradov           ,Bryan Barberena           ,25_8_0    ,18_10_0   ,False   ,   2 ,   0 ,54_97      ,28_81      ,68_114       ,81_138       ,13 of 16 ,0 of 1   ,        0 ,        0 ,   310 ,     2 ,39_77   ,13_56   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,22-Jul-23 ,Men's Bout         ,Makhmud Muradov
Nazim Sadykhov            ,Terrance McKinney         ,8_1_1     ,14_5_0    ,False   ,   0 ,   0 ,8_15       ,6_14       ,20_27        ,21_34        ,0 of 0   ,2 of 5   ,        1 ,        0 ,    55 ,   256 ,6_11    ,3_10    ,Submission              ,         2 ,             67 ,3 Rnd (5-5-5)        ,15-Jul-23 ,Men's Bout         ,Nazim Sadykhov
Holly Holm                ,Mayra Bueno Silva         ,15_5_0    ,9_2_1     ,False   ,   0 ,   0 ,27_39      ,20_37      ,50_70        ,31_50        ,0 of 1   ,0 of 0   ,        0 ,        1 ,   185 ,     0 ,15_24   ,9_21    ,Submission              ,         2 ,             38 ,5 Rnd (5-5-5-5-5)    ,15-Jul-23 ,Women's Bout       ,Mayra Bueno Silva
Tucker Lutz               ,Melsik Baghdasaryan       ,12_3_0    ,7_2_0     ,False   ,   0 ,   0 ,36_109     ,64_108     ,41_115       ,74_122       ,3 of 9   ,0 of 0   ,        0 ,        0 ,   379 ,    42 ,14_71   ,32_66   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,15-Jul-23 ,Men's Bout         ,Melsik Baghdasaryan
Jack Della Maddalena      ,Bassil Hafez              ,15_2_0    ,8_3_1     ,False   ,   0 ,   0 ,83_137     ,32_124     ,149_212      ,48_141       ,1 of 2   ,3 of 20  ,        0 ,        0 ,    79 ,   408 ,55_104  ,29_117  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,15-Jul-23 ,Men's Bout         ,Jack Della Maddalena
Ottman Azaitar            ,Francisco Prado           ,13_1_0    ,11_1_0    ,False   ,   0 ,   1 ,14_33      ,38_57      ,16_36        ,42_61        ,0 of 0   ,0 of 3   ,        0 ,        0 ,     0 ,    49 ,6_20    ,31_46   ,KO/TKO                  ,         1 ,            245 ,3 Rnd (5-5-5)        ,15-Jul-23 ,Men's Bout         ,Francisco Prado
Viktoriia Dudakova        ,Istela Nunes              ,7_0_0     ,6_4_0     ,False   ,   0 ,   0 ,3_11       ,2_6        ,3_11         ,2_6          ,1 of 1   ,0 of 0   ,        0 ,        0 ,     6 ,     0 ,1_7     ,1_4     ,KO/TKO                  ,         1 ,             34 ,3 Rnd (5-5-5)        ,15-Jul-23 ,Women's Bout       ,Viktoriia Dudakova
Albert Duraev             ,JunYong Park              ,16_4_0    ,16_5_0    ,False   ,   0 ,   1 ,31_77      ,50_96      ,35_83        ,77_138       ,1 of 2   ,0 of 1   ,        0 ,        3 ,    74 ,   119 ,18_57   ,41_85   ,Submission              ,         2 ,            285 ,3 Rnd (5-5-5)        ,15-Jul-23 ,Men's Bout         ,JunYong Park
Evan Elder                ,Genaro Valdez             ,7_2_0     ,10_2_0    ,False   ,   1 ,   1 ,96_195     ,64_236     ,96_195       ,65_237       ,1 of 1   ,0 of 0   ,        1 ,        0 ,     6 ,     0 ,61_155  ,51_210  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,15-Jul-23 ,Men's Bout         ,Evan Elder
Norma Dumont              ,Chelsea Chandler          ,9_2_0     ,5_1_0     ,False   ,   0 ,   0 ,47_76      ,22_61      ,98_141       ,72_124       ,3 of 3   ,1 of 3   ,        0 ,        0 ,   538 ,   150 ,30_59   ,14_51   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,15-Jul-23 ,Women's Bout       ,Norma Dumont
Austin Lingo              ,Melquizael Costa          ,9_2_0     ,19_6_0    ,False   ,   0 ,   0 ,39_139     ,100_220    ,39_140       ,108_236      ,0 of 0   ,3 of 8   ,        0 ,        1 ,     0 ,   164 ,24_114  ,39_133  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,15-Jul-23 ,Men's Bout         ,Melquizael Costa
