R_fighter                 ,B_fighter                 ,R_record  ,B_record  ,Rematch ,R_KD ,B_KD ,R_SIG_STR. ,B_SIG_STR. ,R_TOTAL_STR. ,B_TOTAL_STR. ,R_TD     ,B_TD     ,R_SUB_ATT ,B_SUB_ATT ,R_CTRL ,B_CTRL ,R_HEAD  ,B_HEAD  ,win_by                  ,last_round ,last_round_time ,Format               ,date      ,Fight_type         ,Winner
Paul Craig                ,Magomed Ankalaev          ,9_2_0     ,9_0_0     ,False   ,   0 ,   0 ,18_50      ,59_96      ,34_70        ,89_129       ,2 of 7   ,0 of 0   ,        1 ,        0 ,   107 ,   402 ,2_30    ,36_70   ,Submission              ,         3 ,            299 ,3 Rnd (5-5-5)        ,17-Mar-18 ,Men's Bout         ,Paul Craig
Jimi Manuwa               ,Jan Blachowicz            ,17_3_0    ,21_7_0    ,True    ,   0 ,   1 ,37_110     ,97_191     ,37_110       ,124_219      ,0 of 2   ,1 of 6   ,        0 ,        0 ,     2 ,   172 ,16_79   ,81_171  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,17-Mar-18 ,Men's Bout         ,Jan Blachowicz
Fabricio Werdum           ,Alexander Volkov          ,23_7_1    ,30_6_0    ,False   ,   0 ,   1 ,48_88      ,48_90      ,83_130       ,96_144       ,3 of 9   ,2 of 2   ,        0 ,        0 ,   399 ,   106 ,30_66   ,37_75   ,KO/TKO                  ,         4 ,             98 ,5 Rnd (5-5-5-5-5)    ,17-Mar-18 ,Men's Bout         ,Alexander Volkov
Danny Roberts             ,Oliver Enkamp             ,14_3_0    ,7_1_0     ,False   ,   1 ,   0 ,4_10       ,7_12       ,4_10         ,8_14         ,0 of 0   ,0 of 1   ,        0 ,        0 ,     2 ,    24 ,2_8     ,1_4     ,KO/TKO                  ,         1 ,            132 ,3 Rnd (5-5-5)        ,17-Mar-18 ,Men's Bout         ,Danny Roberts
Stevie Ray                ,Kajan Johnson             ,21_7_0    ,22_11_1   ,False   ,   0 ,   0 ,24_62      ,33_54      ,37_78        ,37_58        ,3 of 4   ,2 of 4   ,        1 ,        0 ,   100 ,   254 ,18_52   ,7_22    ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,17-Mar-18 ,Men's Bout         ,Kajan Johnson
Danny Henry               ,Hakeem Dawodu             ,11_2_0    ,7_0_1     ,False   ,   1 ,   0 ,2_5        ,3_3        ,2_5          ,3_3          ,0 of 0   ,0 of 0   ,        1 ,        0 ,    13 ,     0 ,2_4     ,1_1     ,Submission              ,         1 ,             39 ,3 Rnd (5-5-5)        ,17-Mar-18 ,Men's Bout         ,Danny Henry
Leon Edwards              ,Peter Sobotta             ,14_3_0    ,17_5_1    ,False   ,   1 ,   0 ,42_86      ,16_43      ,71_117       ,57_90        ,1 of 2   ,1 of 4   ,        0 ,        0 ,   501 ,    64 ,37_78   ,8_34    ,KO/TKO                  ,         3 ,            299 ,3 Rnd (5-5-5)        ,17-Mar-18 ,Men's Bout         ,Leon Edwards
Mark Godbeer              ,Dmitry Sosnovskiy         ,13_3_0    ,10_0_0    ,False   ,   0 ,   0 ,24_37      ,28_40      ,73_91        ,53_71        ,0 of 1   ,2 of 3   ,        0 ,        2 ,   209 ,   255 ,11_24   ,22_32   ,Submission              ,         2 ,            269 ,3 Rnd (5-5-5)        ,17-Mar-18 ,Men's Bout         ,Dmitry Sosnovskiy
Sean O'Malley             ,Andre Soukhamthath        ,9_0_0     ,12_5_0    ,False   ,   0 ,   0 ,63_111     ,25_60      ,73_121       ,42_79        ,0 of 0   ,4 of 7   ,        3 ,        0 ,    55 ,   361 ,41_83   ,7_37    ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,3-Mar-18  ,Men's Bout         ,Sean O'Malley
Cat Zingano               ,Ketlen Vieira             ,9_2_0     ,9_0_0     ,False   ,   0 ,   0 ,59_106     ,41_71      ,77_128       ,96_139       ,0 of 2   ,2 of 2   ,        0 ,        1 ,    14 ,   609 ,33_70   ,32_60   ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,3-Mar-18  ,Women's Bout       ,Ketlen Vieira
